pl_name,hostname,default_flag,sy_snum,sy_pnum,soltype,pl_controv_flag,pl_orbper,pl_orbsmax,pl_rade,pl_masse,pl_bmasse,pl_bmassprov,pl_orbeccen,pl_eqt,st_teff,st_rad,st_met,st_metratio,st_lum,st_age,sy_dist
11 Com b,11 Com,1,2,1,Published Confirmed,0,326.03,1.29,,,6165.6,Msini,0.231,,4742,19,-0.35,[Fe/H],2.243,,93.1846
11 Com b,11 Com,0,2,1,Published Confirmed,0,,1.21,,,5434.7,Msini,,,,,,,,,93.1846
11 UMi b,11 UMi,0,1,1,Published Confirmed,0,516.22,1.54,,,3337.07,Msini,0.08,,4340,24.08,0.04,[Fe/H],,1.56,125.321
11 UMi b,11 UMi,0,1,1,Published Confirmed,0,,1.51,,,3432.4,Msini,,,,,,,,,125.321
11 UMi b,11 UMi,1,1,1,Published Confirmed,0,516.21997,1.53,,,4684.8142,Msini,0.08,,4213,29.79,-0.02,[Fe/H],,,125.321
14 And b,14 And,1,1,1,Published Confirmed,0,185.84,0.83,,,1525.5,Msini,0,,4813,11,-0.24,[Fe/H],1.763,,75.4392
14 And b,14 And,0,1,1,Published Confirmed,0,,0.68,,,1017,Msini,,,,,,,,,75.4392
14 Her b,14 Her,0,1,2,Published Confirmed,0,1796.4,2.8,,,1506.45,Msini,0.338,,5255,,0.51,[Fe/H],-0.15,3.9,17.9323
14 Her b,14 Her,0,1,2,Published Confirmed,0,1766.41,2.83,,,1541.46777,Msini,0.3674,,5314.94,1,0.405,[Fe/H],,,17.9323
14 Her b,14 Her,0,1,2,Published Confirmed,0,1766,2.864,,,1581.138,Msini,0.359,,5280,1,0.4,[M/H],-0.153,,17.9323
14 Her b,14 Her,0,1,2,Published Confirmed,0,1773.40002,2.93,,,1481.0878,Msini,0.37,,5338,0.93,0.41,[Fe/H],,,17.9323
14 Her b,14 Her,0,1,2,Published Confirmed,0,,2.73,,,1440.663,Msini,0.357,,,,,,,,17.9323
