,Unnamed: 0,Name,starName,defaultPlanetEntry,numStars,numPlanets,solution,controversial,orbitalPeriod,planetSemimajor,planetEarthRads,earthMass,bestEarthMass,bestMassProvenance,eccentricity,equilTemp,stellarEffTemp,stellarRadius,stellarMetallicity,stellarMetallicityRatio,luminosity,stellarAge,distance
5,5,14 And b,14 And,1,1,1,Published Confirmed,0,185.84,0.83,,,1525.5,Msini,0.0,,4813.0,11.0,-0.24,[Fe/H],1.763,,75.4392
61,61,51 Peg b,51 Peg,0,1,1,Published Confirmed,0,4.2293,,,,149.3801,Msini,0.0,,5773.0,1.29,0.2,[M/H],,10.0,15.4614
63,63,51 Peg b,51 Peg,0,1,1,Published Confirmed,0,4.231,0.052,,146.2018,146.2018,Mass,0.0,,,,,,,,15.4614
64,64,51 Peg b,51 Peg,0,1,1,Published Confirmed,0,4.23077,0.052,,,148.738,Msini,0.0,,,,,,,,15.4614
65,65,55 Cnc b,55 Cnc,1,2,5,Published Confirmed,0,14.6516,0.1134,,,255.4,Msini,0.0,,5172.0,0.94,0.35,[Fe/H],,,12.5855
73,73,55 Cnc b,55 Cnc,0,2,5,Published Confirmed,0,14.6,0.113,,254.25,254.25,Mass,0.0,700.0,,,,,,,12.5855
101,101,55 Cnc e,55 Cnc,0,2,5,Published Confirmed,0,0.736546,0.01583,2.173,8.37,8.37,Mass,0.0,,5250.0,0.96,0.35,[M/H],-0.197,,12.5855
116,116,55 Cnc f,55 Cnc,0,2,5,Published Confirmed,0,260.7,0.775,,,44.812,Msini,0.0,,5250.0,0.96,0.35,[M/H],-0.197,,12.5855
147,147,AU Mic b,AU Mic,0,1,2,Published Confirmed,0,8.463,0.0645,4.07,17.0,17.0,Mass,0.0,593.0,3700.0,0.75,,,,0.022,9.7221
148,148,AU Mic b,AU Mic,0,1,2,Published Confirmed,0,8.46321,,,,,,0.0,,,,,,,,9.7221
155,155,AU Mic c,AU Mic,0,1,2,Published Confirmed,0,18.859019,0.1101,3.24,13.6,13.6,Mass,0.0,454.0,3700.0,0.75,,,,0.022,9.7221
167,167,BD+20 594 b,BD+20 594,0,1,1,Published Confirmed,0,41.6855,0.241,2.23,16.3,16.3,Mass,0.0,546.0,5766.0,0.93,-0.15,[Fe/H],-0.056,3.34,179.461
168,168,BD+20 594 b,BD+20 594,1,1,1,Published Confirmed,0,41.6855,,2.578,22.2481,22.2481,Mass,0.0,,5766.0,1.08,-0.15,[Fe/H],,,179.461
177,177,BD-06 1339 b,BD-06 1339,1,1,2,Published Confirmed,1,3.8728,0.0428,,,8.5,Msini,0.0,,4324.0,,-0.14,[Fe/H],-1.022,4.4,20.2695
200,200,CoRoT-1 b,CoRoT-1,1,1,1,Published Confirmed,0,1.5089557,,16.7,327.35,327.35,Mass,0.0,1898.0,5950.0,1.11,-0.3,[M/H],,,787.909
204,204,CoRoT-1 b,CoRoT-1,0,1,1,Published Confirmed,0,1.5089557,0.0261,16.589,359.1479,359.1479,Mass,0.0,,5950.0,1.14,,,,,787.909
211,211,CoRoT-11 b,CoRoT-11,0,1,1,Published Confirmed,0,2.994325,0.04351,15.581,791.3967,791.3967,Mass,0.0,1715.0,,1.33,,,,2.0,655.037
214,214,CoRoT-11 b,CoRoT-11,1,1,1,Published Confirmed,0,2.99433,0.0436,16.03,740.51,740.51,Mass,0.0,1657.0,6440.0,1.37,-0.03,[Fe/H],,2.0,655.037
221,221,CoRoT-13 b,CoRoT-13,1,1,1,Published Confirmed,0,4.03519,0.051,9.92,415.704,415.704,Mass,0.0,1700.0,5945.0,1.01,0.01,[Fe/H],,1.635,1148.93
226,226,CoRoT-14 b,CoRoT-14,1,1,1,Published Confirmed,0,1.51214,0.027,12.22,2415.4,2415.4,Mass,0.0,1952.0,6035.0,1.21,0.05,[Fe/H],,4.2,1744.6
233,233,CoRoT-17 b,CoRoT-17,1,1,1,Published Confirmed,0,3.7681,0.0461,11.43,772.29,772.29,Mass,0.0,1626.0,5740.0,1.59,0.0,[Fe/H],,10.7,1176.12
246,246,CoRoT-2 b,CoRoT-2,0,2,1,Published Confirmed,0,1.7429975,,15.85,1052.0173,1052.0173,Mass,0.0,1535.0,5625.0,0.9,0.0,[Fe/H],,,213.283
251,251,CoRoT-2 b,CoRoT-2,0,2,1,Published Confirmed,0,1.7429964,0.0281,16.421,1051.973,1051.973,Mass,0.0,,,,,,,,213.283
264,264,CoRoT-21 b,CoRoT-21,1,1,1,Published Confirmed,0,2.72474,0.0417,14.572,718.2958,718.2958,Mass,0.0,,6200.0,1.95,0.0,[Fe/H],,4.1,
269,269,CoRoT-24 b,CoRoT-24,1,1,2,Published Confirmed,0,5.1134,0.056,3.7,5.7,5.7,Mass,0.0,1070.0,4950.0,0.86,0.3,[Fe/H],,11.0,591.555
270,270,CoRoT-24 c,CoRoT-24,1,1,2,Published Confirmed,0,11.759,0.098,5.0,28.0,28.0,Mass,0.0,850.0,4950.0,0.86,0.3,[Fe/H],,11.0,591.555
271,271,CoRoT-25 b,CoRoT-25,1,1,1,Published Confirmed,0,4.86069,0.0578,12.11,85.81,85.81,Mass,0.0,1330.0,6040.0,1.19,-0.01,[Fe/H],,4.5,1103.48
274,274,CoRoT-26 b,CoRoT-26,1,1,1,Published Confirmed,0,4.20474,0.0526,14.12,165.26,165.26,Mass,0.0,1600.0,5590.0,1.79,0.01,[Fe/H],,8.6,1045.18
286,286,CoRoT-3 b,CoRoT-3,1,1,1,Published Confirmed,0,4.2568,,11.32,6883.91,6883.91,Mass,0.0,,6740.0,1.56,,,,2.2,768.771
289,289,CoRoT-35 b,CoRoT-35,1,1,1,Published Confirmed,0,3.22748,0.0429,18.831,349.61125,349.61125,Mass,0.0,1747.0,6390.0,1.65,-0.5,[Fe/H],,6.1,1123.21
290,290,CoRoT-36 b,CoRoT-36,1,1,1,Published Confirmed,0,5.616531,0.066,15.805,216.12332,216.12332,Mass,0.0,1567.0,6730.0,1.52,-0.1,[Fe/H],,2.1,925.958
293,293,CoRoT-4 b,CoRoT-4,1,1,1,Published Confirmed,0,9.20205,0.09,13.34,228.83,228.83,Mass,0.0,1074.0,6190.0,1.17,,,,1.0,726.412
305,305,CoRoT-7 b,CoRoT-7,1,1,3,Published Confirmed,0,0.85359163,,1.681,4.07661,4.07661,Mass,0.0,,5275.0,0.83,0.05,[Fe/H],,,159.906
