Name,starName,controversial,solution,orbitalPeriod,planetSemimajor,planetEarthRads,earthMass,stellarEffTemp,stellarRadius,distance
GJ 15 A b,GJ 15 A,0,Published Confirmed,1,11.4433,0.0717,,,3567,0.39
GJ 15 A b,GJ 15 A,0,Published Confirmed,1,11.4432,0.0732,,,3742.67,0.38
GJ 15 A b,GJ 15 A,1,Published Confirmed,1,11.4407,0.072,,,3607,0.38
GJ 667 C e,GJ 667 C,1,Published Confirmed,1,62.24,0.213,,,3350,
GJ 667 C f,GJ 667 C,1,Published Confirmed,1,39.026,0.156,,,3350,
GJ 667 C g,GJ 667 C,1,Published Confirmed,1,256.2,0.549,,,3350,
HD 100546 b,HD 100546,1,Published Confirmed,1,,53,77.342,,10500,
HD 219134 f,HD 219134,1,Published Confirmed,1,22.717,0.1463,1.31,7.3,4699,0.78
HD 219134 f,HD 219134,0,Published Confirmed,1,22.7945,0.1453,,,4817.14,0.76
HD 219134 f,HD 219134,0,Published Confirmed,1,22.805,0.14574,,,4913,0.77
HD 40307 g,HD 40307,0,Published Confirmed,1,196.343,0.6069,,,4867.44,0.72
HD 40307 g,HD 40307,1,Published Confirmed,1,197.8,0.6,,,4956,
HU Aqr AB b,HU Aqr,1,Published Confirmed,1,2390,3.6,,,,
HU Aqr AB c,HU Aqr,1,Published Confirmed,1,4368,5.4,,,,
K2-18 c,K2-18,1,Published Confirmed,1,8.962,0.06,,,3457,0.41
KIC 10001893 b,KIC 10001893,1,Published Confirmed,1,0.2197,,,,27500,
KIC 10001893 c,KIC 10001893,1,Published Confirmed,1,0.32528,,,,27500,
KIC 10001893 d,KIC 10001893,1,Published Confirmed,1,0.81161,,,,27500,
KIC 5951458 b,KIC 5951458,1,Published Confirmed,1,1320.1,,6.6,,6258,1.52
KOI-55 b,KOI-55,1,Published Confirmed,1,0.240104,0.006,0.759,0.44,27730,0.2
KOI-55 c,KOI-55,1,Published Confirmed,1,0.342887,0.0076,0.867,0.655,27730,0.2
Kepler-186 f,Kepler-186,0,Published Confirmed,1,,,1.438,,3748,0.54
Kepler-186 f,Kepler-186,0,Kepler Project Candidate (q1_q17_dr25_sup_koi),1,129.945392,,,,3876,0.55
Kepler-186 f,Kepler-186,0,Kepler Project Candidate (q1_q16_koi),1,129.94577,0.3931,1.06,,3761,0.46
Kepler-186 f,Kepler-186,0,Kepler Project Candidate (q1_q12_koi),1,129.94577,0.3931,1.06,,3761,0.46
Kepler-186 f,Kepler-186,0,Published Confirmed,1,129.9425112,,,,3876,0.55
Kepler-186 f,Kepler-186,1,Published Confirmed,1,129.9441,0.432,1.17,,3755,0.52
Kepler-186 f,Kepler-186,0,Published Confirmed,1,129.9418818,,1.02,,3876,0.55
Kepler-186 f,Kepler-186,0,Published Confirmed,1,129.94577,,1.12,,3871,0.49
Kepler-186 f,Kepler-186,0,Kepler Project Candidate (q1_q17_dr24_koi),1,129.94577,0.3931,1.06,,3761,0.46
Kepler-186 f,Kepler-186,0,Published Confirmed,1,129.9459,0.356,1.11,,3788,0.47
Kepler-186 f,Kepler-186,0,Published Confirmed,1,129.9533307,,,,3876,0.55
Kepler-186 f,Kepler-186,0,Kepler Project Candidate (q1_q17_dr25_koi),1,129.945392,0.3855,1.18,,3751,0.44
Kepler-452 b,Kepler-452,0,Kepler Project Candidate (q1_q17_dr24_koi),1,384.843022,0.9892,1.13,,5578,0.79
Kepler-452 b,Kepler-452,1,Published Confirmed,1,384.843,1.046,1.63,,5757,1.11
Kepler-452 b,Kepler-452,0,Published Confirmed,1,,,1.511,,5589,1.11
Kepler-452 b,Kepler-452,0,Published Confirmed,1,384.843022,,1.5,,5892,1.06
Kepler-452 b,Kepler-452,0,Kepler Project Candidate (q1_q17_dr25_sup_koi),1,384.847556,,,,5728,1.12
Kepler-452 b,Kepler-452,0,Kepler Project Candidate (q1_q17_dr25_koi),1,384.847556,0.994,1.09,,5579,0.8
Kepler-747 b,Kepler-747,0,Kepler Project Candidate (q1_q16_koi),1,35.61760587,0.1916,5.26,,5123,0.78
Kepler-747 b,Kepler-747,0,Kepler Project Candidate (q1_q17_dr25_sup_koi),1,35.61760233,,,,4980,3.21
Kepler-747 b,Kepler-747,0,Kepler Project Candidate (q1_q17_dr24_koi),1,35.61760587,0.1916,5.26,,5123,0.78
Kepler-747 b,Kepler-747,0,Kepler Project Candidate (q1_q12_koi),1,35.61760587,0.1916,5.26,,5123,0.78
Kepler-747 b,Kepler-747,0,Published Confirmed,1,35.6175885,,,,4980,3.21
Kepler-747 b,Kepler-747,1,Published Confirmed,1,35.61760587,,5.27,,5096,0.78
Kepler-747 b,Kepler-747,0,Published Confirmed,1,35.61766403,,,,4980,3.21
Kepler-747 b,Kepler-747,0,Kepler Project Candidate (q1_q8_koi),1,35.61758,0.193,4.8,,5131,0.77
Kepler-747 b,Kepler-747,0,Kepler Project Candidate (q1_q17_dr25_koi),1,35.61760233,0.1916,5.17,,5123,0.78
LkCa 15 b,LkCa 15,1,Published Confirmed,1,,14.7,,,4194,1.61
LkCa 15 c,LkCa 15,1,Published Confirmed,1,,18.6,,,4194,1.61
