Name,starName,controversial,planetSemimajor,planetEarthRads,earthMass,eccentricity,earthFlux,equilTemp,stellarEffTemp,stellarRadius,stellarMass,luminosity,stLogSurfaceGrav,
PSR B1257+12 b,PSR B1257+12,0,0.19,,0.02,0,,,,,1.4,,,
Kepler-138 b,Kepler-138,0,,0.522,0.066,,6.81,,3841,0.44,0.52,,4.89,
Kepler-444 e,Kepler-444,0,,0.5,0.1,,,,,,0.7,,,
Kepler-138 b,Kepler-138,0,0.076,0.701,0.187,0.006,,,,0.58,0.55,,4.65,
Kepler-444 d,Kepler-444,0,,0.5,0.2,,,,,,0.7,,,
K2-266 c,K2-266,0,0.0679,0.705,0.29013,0.042,32.4,664,4285,0.7,0.69,-0.823,4.58,
TRAPPIST-1 d,TRAPPIST-1,0,0.02228,0.784,0.297,0.00837,,,,,0.09,,,
TRAPPIST-1 h,TRAPPIST-1,0,0.06189,0.755,0.326,,0.14,,2566,0.12,0.09,-3.257,5.24,
TRAPPIST-1 h,TRAPPIST-1,0,0.061935,0.773,0.331,0.00567,,,,,0.09,,,
LHS 1678 b,LHS 1678,0,0.01251,0.696,0.35,0.25,93.2,,3490,0.33,0.34,-1.839,,
TRAPPIST-1 d,TRAPPIST-1,0,0.02227,0.788,0.388,,1.11,,2566,0.12,0.09,-3.257,5.24,
Kepler-33 c,Kepler-33,0,,2.6,0.39,,,,,1.69,1.1,,,
L 98-59 b,L 98-59,0,0.02191,0.85,0.4,0.103,24.7,627,3415,0.3,0.27,-1.948,4.86,
TRAPPIST-1 d,TRAPPIST-1,0,0.02144,0.772,0.41,0.07,1.14,288,2559,0.12,0.08,-3.281,,
KOI-55 b,KOI-55,1,0.006,0.759,0.44,,,,27730,0.2,0.5,1.36,5.52,
MOA-2011-BLG-262L b,MOA-2011-BLG-262L,0,0.13,,0.47,,,,,,0,,,
Kepler-138 b,Kepler-138,0,,0.71,0.5,,,,,0.55,0.59,,,
Kepler-345 b,Kepler-345,0,,0.8,0.5,,,,,,0.7,,,
GJ 367 b,GJ 367,0,0.0071,0.718,0.546,0,,1745,3522,0.46,0.45,-1.541,4.78,
YZ Cet c,YZ Cet,0,0.0082,,0.58,0.05,,,,0.17,0.13,,,
Kepler-85 e,Kepler-85,0,,1.2,0.6,,,,,,0.9,,,
TRAPPIST-1 e,TRAPPIST-1,0,0.02817,0.918,0.62,0.085,0.66,251,2559,0.12,0.08,-3.281,,
Kepler-138 d,Kepler-138,0,,1.212,0.64,,2.32,,3841,0.44,0.52,,4.89,
YZ Cet b,YZ Cet,0,0.0156,,0.65,0.03,,,,0.17,0.13,,,
KOI-55 c,KOI-55,1,0.0076,0.867,0.655,,,,27730,0.2,0.5,1.36,5.52,
TRAPPIST-1 f,TRAPPIST-1,0,0.0371,1.045,0.68,0.063,0.38,219,2559,0.12,0.08,-3.281,,
TRAPPIST-1 e,TRAPPIST-1,0,0.02925,0.92,0.692,,0.65,,2566,0.12,0.09,-3.257,5.24,
YZ Cet b,YZ Cet,0,0.01634,,0.7,0.06,8.21,471,3151,0.16,0.14,-2.659,5.17,
YZ Cet b,YZ Cet,0,0.01557,,0.75,0,,,3056,0.17,0.13,,,
Kepler-128 b,Kepler-128,0,,1.43,0.77,,,,,1.61,1.09,,,
TRAPPIST-1 e,TRAPPIST-1,0,0.029283,0.91,0.772,0.0051,,,,,0.09,,,
GJ 9827 c,GJ 9827,0,0.03925,1.241,0.84,0,,,4340,0.6,0.61,,4.66,
TRAPPIST-1 b,TRAPPIST-1,0,0.01111,1.086,0.85,0.081,4.25,400,2559,0.12,0.08,-3.281,,
Kepler-128 c,Kepler-128,0,,1.34,0.9,,,,,1.61,1.09,,,
TRAPPIST-1 f,TRAPPIST-1,0,0.038534,1.046,0.934,0.01007,,,,,0.09,,,
YZ Cet c,YZ Cet,0,0.0209,,0.98,0.04,,,3056,0.17,0.13,,,
Kepler-138 d,Kepler-138,0,,1.61,1.01,0.024,,,3871,0.54,0.57,,4.73,
L 98-59 b,L 98-59,0,0.02282,0.8,1.01,0.12,,610,3412,0.31,0.31,,4.94,
TRAPPIST-1 b,TRAPPIST-1,0,0.011548,1.121,1.017,0.00622,,,,,0.09,,,
TRAPPIST-1 f,TRAPPIST-1,0,0.03849,1.045,1.039,,0.37,,2566,0.12,0.09,-3.257,5.24,
Teegarden's Star b,Teegarden's Star,0,0.0252,,1.05,0,1.15,,2904,0.11,0.09,-3.137,,
YZ Cet d,YZ Cet,0,0.02851,,1.09,0.07,2.7,357,3151,0.16,0.14,-2.659,5.17,
Teegarden's Star c,Teegarden's Star,0,0.0443,,1.11,0,0.37,,2904,0.11,0.09,-3.137,,
YZ Cet c,YZ Cet,0,0.02156,,1.14,0,4.72,410,3151,0.16,0.14,-2.659,5.17,
YZ Cet d,YZ Cet,0,0.02764,,1.14,0.129,,,3056,0.17,0.13,,,
TRAPPIST-1 g,TRAPPIST-1,0,0.046877,1.148,1.148,0.00208,,,,,0.09,,,
TRAPPIST-1 c,TRAPPIST-1,0,0.015815,1.095,1.156,0.00654,,,,,0.09,,,
Kepler-138 d,Kepler-138,0,0.1301,1.68,1.17,0.027,,,,0.58,0.55,,4.65,
GJ 273 c,GJ 273,0,0.036467,,1.18,0.17,6.66,,3382,0.29,0.29,-2.056,,
OGLE-2018-BLG-0596L b,OGLE-2018-BLG-0596L,0,2.77,,1.19,,,,,,0.15,,,
GJ 3929 b,GJ 3929,0,0.02569,1.15,1.21,,17.5,569,3369,0.32,0.31,-1.937,4.84,
YZ Cet d,YZ Cet,0,0.0276,,1.21,0.02,,,,0.17,0.13,,,
Proxima Cen b,Proxima Cen,0,0.0485,,1.27,0.35,0.65,234,3050,0.14,0.12,-2.81,,
OGLE-2018-BLG-0596L b,OGLE-2018-BLG-0596L,0,3.02,,1.3,,,,,,0.2,,,
TRAPPIST-1 c,TRAPPIST-1,0,0.0158,1.097,1.308,,2.21,,2566,0.12,0.09,-3.257,5.24,
TRAPPIST-1 g,TRAPPIST-1,0,0.04683,1.129,1.321,,0.25,,2566,0.12,0.09,-3.257,5.24,
TRAPPIST-1 g,TRAPPIST-1,0,0.0451,1.127,1.34,0.061,0.26,199,2559,0.12,0.08,-3.281,,
Wolf 1061 b,Wolf 1061,0,0.035509,,1.36,0,,,3393,,0.25,-2.104,,
GJ 1061 b,GJ 1061,0,0.021,,1.37,0.31,3.8,,2953,0.16,0.12,-2.77,,
TRAPPIST-1 b,TRAPPIST-1,0,0.01154,1.116,1.374,,4.15,,2566,0.12,0.09,-3.257,5.24,
TRAPPIST-1 c,TRAPPIST-1,0,0.01521,1.056,1.38,0.083,2.27,342,2559,0.12,0.08,-3.281,,
LHS 1678 c,LHS 1678,0,0.0331,0.982,1.4,0.22,13.5,,3490,0.33,0.34,-1.839,,
Ross 128 b,Ross 128,0,0.0496,,1.4,0.116,1.38,301,3192,0.2,0.17,-2.441,,
TOI-500 b,TOI-500,0,0.01189,1.166,1.42,0.063,1138,1617,4440,0.68,0.74,,4.62,
OGLE-2016-BLG-1195L b,OGLE-2016-BLG-1195L,0,1.16,,1.43,,,,,,0.08,,,
OGLE-2016-BLG-1195L b,OGLE-2016-BLG-1195L,0,1.16,,1.43,,,,,,0.08,,,
OGLE-2016-BLG-1195L b,OGLE-2016-BLG-1195L,0,1.16,,1.43,,,,,,0.08,,,
OGLE-2016-BLG-1195L b,OGLE-2016-BLG-1195L,0,1.16,,1.43,,,,,,0.08,,,
OGLE-2016-BLG-1195L b,OGLE-2016-BLG-1195L,0,1.16,,1.43,,,,,,0.08,,,
OGLE-2016-BLG-1195L b,OGLE-2016-BLG-1195L,0,1.16,,1.43,,,,,,0.08,,,
