Name,starName,controversial,orbitalPeriod,planetSemimajor,planetEarthRads,earthMass,stellarEffTemp,stellarRadius,distance
55 Cnc e,55 Cnc,0,0.7365437,0.01544,2.08,7.81,5234,0.94,12.5855
55 Cnc e,55 Cnc,0,0.736546,0.01583,2.173,8.37,5250,0.96,12.5855
55 Cnc e,55 Cnc,0,0.736539,0.01544,1.91,8.08,5250,0.96,12.5855
55 Cnc e,55 Cnc,0,0.7365474,0.01544,1.875,7.99,5172,0.94,12.5855
AU Mic b,AU Mic,0,8.463,0.0645,4.07,17,3700,0.75,9.7221
AU Mic c,AU Mic,0,18.859019,0.1101,3.24,13.6,3700,0.75,9.7221
BD+20 594 b,BD+20 594,0,41.6855,0.241,2.23,16.3,5766,0.93,179.461
COCONUTS-2 b,COCONUTS-2 A,0,402000000,7506,12.442,2002.31896,3406,0.39,10.8864
CoRoT-1 b,CoRoT-1,0,1.5089557,0.0261,16.589,359.1479,5950,1.14,787.909
CoRoT-1 b,CoRoT-1,0,1.5089682,0.02752,19.223,390.9309,6298,1.23,787.909
CoRoT-1 b,CoRoT-1,0,1.5089686,0.02536,17.385,327.3649,5950,1.13,787.909
CoRoT-10 b,CoRoT-10,0,13.2406,0.1055,10.87,874,5075,0.79,338.386
CoRoT-10 b,CoRoT-10,0,13.2406,0.1055,10.873,867.6759,5075,0.79,338.386
CoRoT-10 b,CoRoT-10,0,13.2406,0.106,10.548,883.5674,5075,0.74,338.386
CoRoT-11 b,CoRoT-11,0,2.994325,0.04407,16.029,832.7146,6440,1.37,655.037
CoRoT-11 b,CoRoT-11,0,2.99433,0.044,15.984,743.7222,6440,1.37,655.037
CoRoT-11 b,CoRoT-11,0,2.99433,0.0436,16.03,740.51,6440,1.37,655.037
CoRoT-12 b,CoRoT-12,0,2.828042,0.0394,15.132,281.91521,5675,1.05,1126.37
CoRoT-12 b,CoRoT-12,0,2.828042,0.04016,16.14,291.438,5675,1.12,1126.37
CoRoT-12 b,CoRoT-12,0,2.828042,0.04013,16.141,290.81445,5675,1.12,1126.37
CoRoT-13 b,CoRoT-13,0,4.03519,0.051,14.034,416.99296,5945,1.27,1148.93
CoRoT-13 b,CoRoT-13,0,4.03519,0.05107,9.92,423.03173,5945,1.01,1148.93
CoRoT-13 b,CoRoT-13,0,4.03519,0.051,9.92,415.704,5945,1.01,1148.93
CoRoT-14 b,CoRoT-14,0,1.51214,0.027,12.22,2415.4,6035,1.21,1744.6
CoRoT-14 b,CoRoT-14,0,1.51214,0.02687,11.411,2437.7561,6035,1.19,1744.6
CoRoT-14 b,CoRoT-14,0,1.51214,0.02691,12.218,2358.2986,6040,1.21,1744.6
CoRoT-16 b,CoRoT-16,0,5.35227,0.0618,13.115,168.13207,5650,1.19,732.409
CoRoT-16 b,CoRoT-16,0,5.35227,0.0618,13.11,170.032,5650,1.19,732.409
CoRoT-17 b,CoRoT-17,0,3.7681,0.0481,11.287,781.8618,5740,1.62,1176.12
CoRoT-17 b,CoRoT-17,0,3.7681,0.0481,11.433,765.9703,5740,1.59,1176.12
CoRoT-17 b,CoRoT-17,0,3.7681,0.0461,11.43,772.29,5740,1.59,1176.12
CoRoT-18 b,CoRoT-18,0,1.9000693,0.0286,14.022,1039.3041,5440,0.92,764.889
CoRoT-18 b,CoRoT-18,0,1.9000693,0.0295,14.68,1102.82,5440,1,764.889
CoRoT-18 b,CoRoT-18,0,1.9000693,0.0295,14.684,1099.6918,5440,1,764.889
CoRoT-19 b,CoRoT-19,0,3.89713,0.0518,14.46,352.78,6090,1.65,790.663
CoRoT-19 b,CoRoT-19,0,3.89713,0.0512,13.339,346.4347,6090,1.58,790.663
CoRoT-19 b,CoRoT-19,0,3.89713,0.05166,14.46,367.09365,6090,1.65,790.663
CoRoT-2 b,CoRoT-2,0,1.7429935,0.02798,16.432,1102.82,5625,0.91,213.283
CoRoT-2 b,CoRoT-2,0,1.74299673,0.0281,16.432,1048.839,5625,0.9,213.283
CoRoT-2 b,CoRoT-2,0,1.7429935,0.02835,16.365,1134.6531,5598,0.9,213.283
CoRoT-2 b,CoRoT-2,0,1.7429935,0.02854,16.477,1150.5446,5696,0.91,213.283
CoRoT-20 b,CoRoT-20,0,9.24285,0.0892,13.002,1608.2198,5880,1.34,844.061
CoRoT-20 b,CoRoT-20,0,9.24285,0.0902,9.42,1347.54,5880,1.02,844.061
CoRoT-20 b,CoRoT-20,0,9.24285,0.0901,9.416,1344.4209,5880,1.02,844.061
CoRoT-22 b,CoRoT-22,0,9.75598,0.092,4.88,12.2,5939,1.14,627.158
CoRoT-23 b,CoRoT-23,0,3.6313,0.04809,13.227,972.5598,5900,1.74,1060.97
CoRoT-23 b,CoRoT-23,0,3.6313,0.048,11.77,889.9,5900,1.61,1060.97
