,Name,starName,controversial,planetSemimajor,planetEarthRads,earthMass,eccentricity,earthFlux,equilTemp,stellarEffTemp,stellarRadius,stellarMass,luminosity,stLogSurfaceGrav,Unnamed: 14,calculatedEqEarthTemp,calculatedEqVenusTemp,calculatedEqMarsTemp,calculatedEqTitanTemp,calculatedSurfaceEarthTemp,calculatedSurfaceVenusTemp,calculatedSurfaceMarsTemp,calculatedSurfaceTitanTemp,similarityToTitan
0,PSR B1257+12 b,PSR B1257+12,0,0.19,,0.02,0.0,,,,,1.4,,,,,,,,,,,,0.9411764705882353
1,Kepler-138 b,Kepler-138,0,,0.522,0.066,,6.81,,3841.0,0.44,0.52,,4.89,,,,,,,,,,0.5084745762711864
2,Kepler-444 e,Kepler-444,0,,0.5,0.1,,,,,,0.7,,,,,,,,,,,,0.36734693877551006
3,Kepler-138 b,Kepler-138,0,0.076,0.701,0.187,0.006,,,,0.58,0.55,,4.65,,,,,,,,,,0.21479713603818607
4,Kepler-444 d,Kepler-444,0,,0.5,0.2,,,,,,0.7,,,,,,,,,,,,0.2022471910112359
5,K2-266 c,K2-266,0,0.0679,0.705,0.29013,0.042,32.4,664.0,4285.0,0.7,0.69,-0.823,4.58,,(57.51831292192932+57.51831292192932j),(44.02908454681334+44.02908454681334j),(58.53992492289035+58.53992492289035j),(58.24500408235255+58.24500408235255j),(743.234375896039+743.234375896039j),(1593.2285631445873+1593.2285631445873j),(682.6854637900841+682.6854637900841j),(878.6989545031419+878.6989545031419j),0.14394012090970165
6,TRAPPIST-1 d,TRAPPIST-1,0,0.02228,0.784,0.297,0.00837,,,,,0.09,,,,,,,,,,,,0.14084507042253536
7,TRAPPIST-1 h,TRAPPIST-1,0,0.06189,0.755,0.326,,0.14,,2566.0,0.12,0.09,-3.257,5.24,,(84.97384414992077+84.97384414992077j),(65.04572853906137+65.04572853906137j),(86.48310780077192+86.48310780077192j),(86.04741078068655+86.04741078068655j),(1098.0065098567086+1098.0065098567086j),(2353.7330763440136+2353.7330763440136j),(1008.5554540212888+1008.5554540212888j),(1298.1331374582285+1298.1331374582285j),0.12912482065997144
8,TRAPPIST-1 h,TRAPPIST-1,0,0.061935,0.773,0.331,0.00567,,,,,0.09,,,,,,,,,,,,0.12729844413012736
9,LHS 1678 b,LHS 1678,0,0.01251,0.696,0.35,0.25,93.2,,3490.0,0.33,0.34,-1.839,,,(163.83543742589237+163.83543742589237j),(125.41265485272164+125.41265485272164j),(166.74540193205186+166.74540193205186j),(165.90534800033961+165.90534800033961j),(2117.0323484655364+2117.0323484655364j),(4538.15985382806+4538.15985382806j),(1944.5645378396289+1944.5645378396289j),(2502.8903016000986+2502.8903016000986j),0.12080536912751694
10,TRAPPIST-1 d,TRAPPIST-1,0,0.02227,0.788,0.388,,1.11,,2566.0,0.12,0.09,-3.257,5.24,,(141.6561384248752+141.6561384248752j),(108.43485802077515+108.43485802077515j),(144.17216512442522+144.17216512442522j),(143.44583388678433+143.44583388678433j),(1830.4381037211324+1830.4381037211324j),(3923.8043401865543+3923.8043401865543j),(1681.318203657328+1681.318203657328j),(2164.0603559050805+2164.0603559050805j),0.10962241169305731
11,Kepler-33 c,Kepler-33,0,,2.6,0.39,,,,,1.69,1.1,,,,,,,,,,,,0.10909090909090913
12,L 98-59 b,L 98-59,0,0.02191,0.85,0.4,0.103,24.7,627.0,3415.0,0.3,0.27,-1.948,4.86,,(125.5934865556827+125.5934865556827j),(96.13922865913806+96.13922865913806j),(127.82421632833749+127.82421632833749j),(127.18024513482648+127.18024513482648j),(1622.8813373493733+1622.8813373493733j),(3478.876899554193+3478.876899554193j),(1490.6704189091497+1490.6704189091497j),(1918.6735445226795+1918.6735445226795j),0.10650887573964507
13,TRAPPIST-1 d,TRAPPIST-1,0,0.02144,0.772,0.41,0.07,1.14,288.0,2559.0,0.12,0.08,-3.281,,,(144.6372762092053+144.6372762092053j),(110.71685762897172+110.71685762897172j),(147.2062524127007+147.2062524127007j),(146.4646356144018+146.4646356144018j),(1868.9594714045704+1868.9594714045704j),(4006.380369061237+4006.380369061237j),(1716.70135951727+1716.70135951727j),(2209.6027670303206+2209.6027670303206j),0.10404624277456653
14,KOI-55 b,KOI-55,1,0.006,0.759,0.44,,,,27730.0,0.2,0.5,1.36,5.52,,(310.25241253606356+0j),(237.4918353558857+0j),(315.7629633827855+0j),(314.17216737998524+0j),(4008.9885549053924+0j),(8593.83699427869+0j),(3682.38916241618+0j),(4739.681271555141+0j),0.09729729729729741
15,MOA-2011-BLG-262L b,MOA-2011-BLG-262L,0,0.13,,0.47,,,,,,0.0,,,,,,,,,,,,0.09137055837563457
16,Kepler-138 b,Kepler-138,0,,0.71,0.5,,,,,0.55,0.59,,,,,,,,,,,,0.0861244019138756
17,Kepler-345 b,Kepler-345,0,,0.8,0.5,,,,,,0.7,,,,,,,,,,,,0.0861244019138756
18,GJ 367 b,GJ 367,0,0.0071,0.718,0.546,0.0,,1745.0,3522.0,0.46,0.45,-1.541,4.78,,(208.07147835701377+208.07147835701377j),(159.27443360162636+159.27443360162636j),(211.76714167794165+211.76714167794165j),(210.70027076028654+210.70027076028654j),(2688.637192268574+2688.637192268574j),(5763.476111409484+5763.476111409484j),(2469.602575034666+2469.602575034666j),(3178.6779063285917+3178.6779063285917j),0.07915567282321889
19,YZ Cet c,YZ Cet,0,0.0082,,0.58,0.05,,,,0.17,0.13,,,,,,,,,,,,0.07468879668049777
