,Name,starName,controversial,planetSemimajor,planetEarthRads,earthMass,eccentricity,earthFlux,equilTemp,stellarEffTemp,stellarRadius,stellarMass,luminosity,stLogSurfaceGrav,Unnamed: 14,calculatedEqEarthTemp,calculatedEqVenusTemp,calculatedEqMarsTemp,calculatedEqTitanTemp,calculatedSurfaceEarthTemp,calculatedSurfaceVenusTemp,calculatedSurfaceMarsTemp,calculatedSurfaceTitanTemp,similarityIndex_Earth,similarityIndex_Venus,similarityIndex_Mars,similarityIndex_Titan,similarityIndex_Arrakis
331,Kepler-36 b,Kepler-36,0,0.1153,1.486,4.45,0.039,,978,5911,1.63,1.07,0.462,4.04,,54.0321072849137,41.3604658940361,54.9917990149964,54.7147534326942,698.186673012447,1496.66240680708,641.307652250236,825.440694780078,0.00447167843083886,0.00396357993954229,0.000281141854721571,1.27521518661466E-05,0.00082661236747897
350,HD 136352 b,HD 136352,0,0.0969,1.482,4.62,0.079,114,911,5850,1.01,0.91,0.034,4.38,,30.698270324825,23.4988940201919,31.2435179125829,31.0861148312453,396.673835286647,850.326767877052,364.358094833244,468.973039527282,0.00966190573227346,0.00821077444099448,0.000636375697085181,3.44203648633809E-05,0.000722505551873791
351,HD 136352 b,HD 136352,0,0.0964,1.664,4.72,0,111.6,905,5664,1.06,0.87,0.016,4.39,,25.4916263509183,19.513315235163,25.9443960877404,25.8136896833246,329.395144590139,706.105328200749,302.560382495246,389.431891953088,0.0109489872386335,0.00876641819370034,0.000721036877833122,4.15557435094872E-05,0.000598557944041716
365,pi Men c,HD 39091,0,0.06839,2.042,4.82,0,309,1170,6037,1.1,1.09,0.16,4.42,,53.8195124491979,41.1977289234881,54.7754281743097,54.4994726561012,695.439586354039,1490.77363595423,638.784361898918,822.192914197053,0.00288703116950742,0.00254168631578368,0.000172055777682946,7.69391642546177E-06,0.000505574628612198
342,Kepler-10 b,Kepler-10,0,0.01684,1.416,4.56,0,,1833,5627,1.06,0.9,0.002,4.34,,36.2654040671296,27.76042030237,36.9095323478907,36.7235842053498,468.610666572149,1004.53359423381,430.434464041174,554.021337198704,0.00413232857044279,0.00355461713801831,0.000270080152722639,1.38544500279674E-05,0.000460707603289035
378,Kepler-21 b,Kepler-21,0,0.042717,1.639,5.08,0.02,,2025,6305,1.9,1.41,0.715,4.03,,99.0107165275596,75.7906653998965,100.76929620575,100.261626174117,1279.38676166081,2742.54743603541,1175.15924058049,1512.57240829475,0.000730105008319804,0.000666261657961469,4.25412125595543E-05,1.68356988527244E-06,0.000386554695803204
618,HD 5278 b,HD 5278,0,0.1202,2.45,7.8,0.08,132,943,6203,1.19,1.13,0.28,4.5,,46.6920927323033,35.7418358457179,47.5214147318907,47.2820045243317,603.341208012771,1293.34766676961,554.188941973107,713.308353169661,0.00253166844394165,0.00217969896083577,0.000140847734938829,6.45747918692261E-06,0.000305947754380443
571,HD 86226 c,HD 86226,0,0.049,2.16,7.25,0.075,,1311,5863,1.05,1.02,0.072,4.4,,52.0764234188085,39.8634301516203,53.0013792533789,52.7343612935906,672.915913078171,1442.49093970947,618.095619780316,795.563994974612,0.00183646339689709,0.00159631377223425,0.00010348599863826,4.63305233421166E-06,0.000291839548724843
683,K2-111 b,K2-111,0,0.0621,1.9,8.6,0,,1309,5730,1.23,0.88,0.279,4.15,,64.902483599503,49.6815151998522,66.055249610346,65.7224669878421,838.650413089368,1797.76640580721,770.328263580942,991.505862853595,0.00125267866941064,0.0011026680717428,6.92759073455656E-05,2.94387244391448E-06,0.00028549492774727
663,Kepler-68 b,Kepler-68,0,0.0617,2.31,8.3,0,,1280,5793,1.24,1.08,0.194,4.28,,59.4584954925191,45.514254366601,60.5145680626011,60.2096990812809,768.30483274226,1646.97065209241,705.713511219749,908.338843257119,0.00131760646733301,0.00115163741389923,7.18905041650657E-05,3.09651357553592E-06,0.000250454965809357
806,KOI-94 b,KOI-94,0,0.05119,1.71,10.5,0.25,,1486,6182,1.52,1.28,0.479,4.18,,81.8271412917198,62.6369922749175,83.2805147531671,82.8609522162528,1057.3457599818,2266.57097754916,971.207204550267,1250.06141262537,0.000692601389879718,0.000616629807620395,3.75590696190996E-05,1.52290313538719E-06,0.000235496302827976
639,Kepler-36 c,Kepler-36,0,0.1283,3.679,8.08,0.033,,928,5911,1.63,1.07,0.462,4.04,,51.2216107036635,39.2090886142061,52.1313837749711,51.8687488033417,661.870279738557,1418.81305409839,607.949838632589,782.50514465483,0.00161809656256188,0.00139577436257919,8.54715272463553E-05,3.76670915031874E-06,0.000210000895114569
712,HD 213885 b,HD 213885,0,0.02012,1.745,8.83,0,,2128,5978,1.1,1.07,0.139,4.38,,95.7956475005456,73.3295962408206,97.4971227030472,97.0059376969941,1237.84260467208,2653.49162848291,1136.99955232949,1463.45626338057,0.000436168136972587,0.000392344913403208,2.36977196765126E-05,9.34118607366357E-07,0.000203143522687215
841,HD 136352 c,HD 136352,0,0.1729,2.608,11.29,0.037,36,682,5850,1.01,0.91,0.034,4.38,,22.9814961036472,17.591862201055,23.3896821408732,23.2718462412545,296.959994931272,636.575973044006,272.767620069169,351.084994905923,0.00551904296114608,0.00348547618286147,0.00031661534728141,1.84468254132216E-05,0.000180841441485109
838,HD 136352 c,HD 136352,0,0.1721,2.916,11.24,0,35.1,677,5664,1.06,0.87,0.016,4.39,,19.0785614798598,14.6042460871286,19.4174255107877,19.3196016160652,246.527445158629,528.466631743536,226.443647782304,291.460426673696,0.00452695139874009,0.00263930163413584,0.000356216698372503,2.23269390800797E-05,0.000125087417313109
711,HD 136352 d,HD 136352,0,0.425,2.562,8.82,0,5.74,431,5664,1.06,0.87,0.016,4.39,,12.1406404086372,9.29341032185505,12.356276495837,12.2940262716546,156.877711440168,336.289680473809,144.097389284156,185.470809071677,0.00559645932432164,0.00317828648601089,0.000532453411636582,9.02927490289103E-05,0.000116307130019571
991,KOI-94 c,KOI-94,0,0.1013,4.32,15.6,0.43,,1012,6182,1.52,1.28,0.479,4.18,,58.1681459126907,44.5265183246499,59.2012999278079,58.9030471172921,751.631322760263,1611.22861268637,690.398338423355,888.626359195257,0.000596995545769751,0.000513706535427343,2.9345314418161E-05,1.23972969711898E-06,8.99983839387344E-05
1086,HD 183579 b,HD 183579,0,0.1334,3.55,19.7,0.28,58.1,769,5788,0.98,1.03,0.012,4.5,,20.1661717711814,15.436789377047,20.5243534014883,20.4209528664751,260.581218905187,558.592894035957,239.352505821335,308.075691923015,0.0021595468795905,0.00125370721776231,0.000143793921203646,8.73072232684386E-06,5.94204546729296E-05
1114,K2-24 b,K2-24,0,0.154,5.68,21,0,60,767,5743,1.21,1.12,0.158,4.29,,35.7527931850845,27.3680272240853,36.3878167233329,36.2044969546875,461.986862610593,990.334528622109,424.350280066102,546.190254831401,0.000903641424284484,0.000748306843057682,4.48496953943274E-05,2.16742920684892E-06,5.64643984549988E-05
1199,Kepler-4 b,Kepler-4,0,0.0456,4.002,24.472,0,,1650,5857,1.49,1.22,0.354,4.17,,80.3848969865023,61.5329839473823,81.8126540135363,81.4004864762516,1038.70951194836,2226.62153005365,954.089191653358,1228.02845479413,0.000157121691967016,0.000137274097248434,7.44242836334903E-06,2.92594745615594E-07,4.30969166672365E-05
1096,Kepler-10 c,Kepler-10,0,0.2407,2.227,20,0,,485,5627,1.06,0.9,0.002,4.34,,9.59236109868798,7.34275496555245,9.76273590139251,9.71355178846821,123.949611043523,265.703615319357,113.851835230081,146.541114306922,0.00187951856788056,0.00104086002410395,0.00017641128577161,5.33232427058152E-05,3.68075172913252E-05
1231,K2-24 c,K2-24,0,0.247,7.82,27,0,24,606,5743,1.21,1.12,0.158,4.29,,28.2307138826798,21.6100303575405,28.7321339458411,28.5873830753042,364.788811559416,781.976685875634,335.070641350028,431.276536348661,0.000891842876808057,0.000723233053677128,4.40940639996164E-05,2.29927722666413E-06,3.4884850953401E-05
1306,KOI-94 e,KOI-94,0,0.3046,6.56,35,0.019,,584,6182,1.52,1.28,0.479,4.18,,33.5447835749558,25.6778413186592,34.1405895318574,33.9685911670755,433.455625145685,929.173764339441,398.143390674376,512.458811098229,0.000686501487320884,0.000564005383480104,3.34310054661766E-05,1.64150266729176E-06,3.47753828054219E-05
1185,HATS-38 b,HATS-38,0,0.05036,6.882,23.51942,0,464.7,1294,5732,1.1,0.89,0.072,4.3,,51.3684343061288,39.3214790595793,52.2808151860922,52.0174273874404,663.767490261634,1422.87999461364,609.69248952154,784.748147612127,0.00025577774548059,0.000216669632376946,1.20946177759807E-05,5.22546855665738E-07,3.10216419753849E-05
1314,HD 89345 b,HD 89345,0,0.105,6.86,35.7,0.203,,1053,5499,1.66,1.12,0.356,4.04,,53.0485985788143,40.6076102247095,53.9908217107034,53.7188189956125,685.478068704836,1469.41970647291,629.63437702611,810.415774404418,0.000200516356874158,0.000169888253809731,9.33984811003708E-06,3.99276797677583E-07,2.42542592702851E-05
1304,HD 89345 b,HD 89345,0,0.1066,7.398,34.9613,0.22,,1089,5576,1.75,1.16,0.425,4.02,,55.0331910281365,42.1267748925045,56.010663515583,55.7284849513834,711.122376674753,1524.39192689865,653.189525775671,840.734106458093,0.000175925883165424,0.000149361560133715,8.14088989055658E-06,3.44298223665224E-07,2.25871526199593E-05
1339,HD 89345 b,HD 89345,0,0.1115,7.263,38.45743,0.22,,1068,5622,1.73,1.32,0.433,4.08,,54.0618129752918,41.383204988539,55.022032323245,54.7448344272408,698.570521027576,1497.48523960578,641.660229403194,825.894504319196,0.000170351548828228,0.000144412413020008,7.88427107343432E-06,3.350113718969E-07,2.1155570096827E-05
1364,TOI-257 b,TOI-257,0,0.1528,7.163,43.86032,0,186,1027,6095,1.87,1.41,0.636,4.04,,50.8403658580004,38.9172535326465,51.7433674457605,51.4826872785163,656.943948270619,1408.25276213561,603.424839531305,776.680922241551,0.000171794336996229,0.000144973594295846,7.97558509336206E-06,3.44493647046118E-07,1.9153935696225E-05
1445,K2-261 b,K2-261,0,0.1034,9.528,59.75174,0.286,180,1046,5445,1.64,1.09,0.328,4.04,,52.3738206804742,40.0910816336038,53.3040587390204,53.0355158970524,676.758791231903,1450.72869544007,621.625431021228,800.107289964026,9.26805871567894E-05,7.8170899960909E-05,4.21174947698573E-06,1.79657457260776E-07,1.05831351257975E-05
