,Name,starName,controversial,planetSemimajor,planetEarthRads,earthMass,eccentricity,earthFlux,equilTemp,stellarEffTemp,stellarRadius,stellarMass,luminosity,stLogSurfaceGrav,Unnamed: 14,calculatedEqEarthTemp,calculatedEqVenusTemp,calculatedEqMarsTemp,calculatedEqTitanTemp,calculatedSurfaceEarthTemp,calculatedSurfaceVenusTemp,calculatedSurfaceMarsTemp,calculatedSurfaceTitanTemp,similarityIndex_Earth,similarityIndex_Venus,similarityIndex_Mars
14,KOI-55 b,KOI-55,1,0.006,0.759,0.44,,,,27730.0,0.2,0.5,1.36,5.52,,310.25241253606356,237.4918353558857,315.7629633827855,314.17216737998524,4008.9885549053924,8593.83699427869,3682.38916241618,4739.681271555141,,,
24,KOI-55 c,KOI-55,1,0.0076,0.867,0.655,,,,27730.0,0.2,0.5,1.36,5.52,,275.6665025816823,211.01703322500907,280.5627554965175,279.149296156014,3562.079807170882,7635.82454880833,3271.8886317442025,4211.317323212214,,,
116,Kepler-11 f,Kepler-11,0,,,1.98,0.005,,,5820.0,1.13,1.05,0.12,4.35,,,,,,,,,,,,
123,Kepler-1972 b,Kepler-1972,0,,0.802,2.02,0.067,,,5818.0,1.38,1.12,0.294,4.2,,,,,,,,,,,,
124,Kepler-68 c,Kepler-68,0,,,2.04,0.0,,,5875.23,1.26,1.06,0.231,4.26,,,,,,,,,,,,
127,Kepler-11 c,Kepler-11,0,,,2.09,0.015,,,5820.0,1.13,1.05,0.12,4.35,,,,,,,,,,,,
134,Kepler-1972 c,Kepler-1972,0,,0.868,2.11,0.043,,,5818.0,1.38,1.12,0.294,4.2,,,,,,,,,,,,
136,Kepler-11 b,Kepler-11,0,,,2.18,0.026,,,5820.0,1.13,1.05,0.12,4.35,,,,,,,,,,,,
215,Kepler-10 b,Kepler-10,0,,,3.24,,,,5706.0,1.09,1.02,0.055,4.37,,,,,,,,,,,,
231,HD 96700 c,HD 96700,0,0.141,,3.5,0.293,,,5845.0,,0.89,0.14,4.39,,36.251711738294254,27.749939106498477,36.89559682264103,36.70971888649045,468.43373840858607,1004.1543235582957,430.27194964555855,553.8121614697727,,,
250,Kepler-10 b,Kepler-10,0,0.01685,1.47,3.72,,,,5708.0,1.06,0.91,0.002,4.34,,36.25464122253373,27.752181566381356,36.89857833893958,36.71268538207802,468.47159232466635,1004.2354688097558,430.30671972494883,553.8569147771577,,,
