,Name,starName,controversial,planetSemimajor,planetEarthRads,earthMass,stellarEffTemp,stellarRadius,density,escapeVelocity,surfaceEarthTemp,surfaceVenusTemp,surfaceMarsTemp,surfaceTitanTemp,similarityIndex_Earth,similarityIndex_Jupiter,similarityIndex_Arrakis,similarityIndex_Erid,similarityIndex_Mesklin,similarityIndex_Habranah,similarityIndex_Dhrawn
5,K2-266 c,K2-266,0,10185000.0,0.705,0.29013,4285.0,487439.39999999997,0.827756669859288,0.6407045508707235,684.4096778400494,1467.1294587427374,628.6530245258889,680.4135667860415,0.3499062814246254,0.0036131912457482156,0.2883044849114574,0.18478914878107217,0.00044998679465803483,0.10451194612652374,0.0025678109820870183
7,TRAPPIST-1 h,TRAPPIST-1,0,9283500.0,0.755,0.326,2566.0,83561.04,0.7572759195704841,0.6562833291240616,177.74124447710105,381.0136300657238,163.26123744503616,176.70345413776857,0.44471959799266736,0.011199267602526276,0.6341676813043851,0.12991034845002014,0.001127344391288764,0.15284789145583244,0.001480643767818974
9,LHS 1678 b,LHS 1678,0,1876500.0,0.696,0.35,3490.0,229792.86000000002,1.0378097043054109,0.7082481529982575,891.6715804694944,1911.4248170175993,819.0299671316621,886.4653147274552,0.32955713284973753,0.0025978831453661944,0.23726899592814696,0.18097739505372315,0.0004846999556462195,0.09024450755433187,0.0028885789326147343
10,TRAPPIST-1 d,TRAPPIST-1,0,3340500.0000000005,0.788,0.388,2566.0,83561.04,0.7927394571962332,0.7008237358353779,296.30456975720205,635.1709759903182,272.16559027419294,294.5745153688763,0.6377131129344075,0.008597497042720286,0.5673258370605957,0.20305668517232786,0.0009656923035497596,0.15077627744222247,0.002438481893365049
12,L 98-59 b,L 98-59,0,3286500.0,0.85,0.4,3415.0,208902.6,0.651149356986065,0.6851356738096475,628.6100636096577,1347.515051649241,577.3992252458738,624.9397536985254,0.37386488002166285,0.005876889026900101,0.3114589647689501,0.20355768645528732,0.0004872682959186948,0.07914729943645249,0.0027664572023938295
13,TRAPPIST-1 d,TRAPPIST-1,0,3216000.0,0.772,0.41,2559.0,83561.04,0.8908597911610309,0.7278457097882689,301.1616731694951,645.5828677724803,276.62700110667777,299.4032592689287,0.6810374583959772,0.007873746566143914,0.6026169297379987,0.2213764670131452,0.0010840549519960752,0.15751823420266178,0.002770440814828095
18,GJ 367 b,GJ 367,0,1065000.0,0.718,0.546,3522.0,320317.32,1.4746763380334145,0.870943831273646,1410.2310610625375,3023.0307961869767,1295.3440761024842,1401.997045509744,0.2157753995000905,0.001582429352370676,0.14913173257322956,0.12788435146607982,0.0005590539876439477,0.04429339723649167,0.003517368993159462
21,TRAPPIST-1 e,TRAPPIST-1,0,4225500.0,0.918,0.62,2559.0,83561.04,0.8012001976073901,0.8207871571141606,262.7354461855662,563.2107865149844,241.33123513971725,261.2013942065011,0.7272669618689435,0.012254802667515056,0.725093869692962,0.23653188161769217,0.0014083663699951102,0.12666806045469384,0.0030411611441755093
25,TRAPPIST-1 f,TRAPPIST-1,0,5565000.0,1.045,0.68,2559.0,83561.04,0.5957135014504696,0.8056610339840956,228.94182317557022,490.76935057258004,210.2906698134528,227.60508440646936,0.5727401551433142,0.018525334666727483,0.6556186344753556,0.19533758845639265,0.0012772943554798456,0.09930015499692303,0.002355531459041444
26,TRAPPIST-1 e,TRAPPIST-1,0,4387500.0,0.92,0.692,2566.0,83561.04,0.888423452045217,0.8661940213356816,258.5446305286141,554.2271772739829,237.4818317439501,257.0350477604826,0.786185768547638,0.011998352936612151,0.7948471880073276,0.25754638676445013,0.0016521837595892875,0.12946536450843202,0.0034661481015331817
31,GJ 9827 c,GJ 9827,0,5887500.0,1.241,0.84,4340.0,417805.2,0.4393810712869668,0.821693403561248,844.1054553220065,1809.4600644700283,775.3389010828654,839.1769172694675,0.25266621976233117,0.009947898713048091,0.20231396956716063,0.19276577742090228,0.0004388796683866924,0.03092866535797944,0.0027326466808170135
32,TRAPPIST-1 b,TRAPPIST-1,0,1666500.0,1.086,0.85,2559.0,83561.04,0.6634479428262061,0.8835896060475205,418.3647279571588,896.824280483489,384.28190030165626,415.92199231485637,0.5898925076298221,0.012558002733941986,0.49573379618189495,0.3274615581396838,0.0010762185229946746,0.070880579900021,0.004287119866293838
37,L 98-59 b,L 98-59,0,3423000.0,0.8,1.01,3412.0,215866.02,1.972099462146767,1.1222038172380744,625.580542371832,1341.0208421168336,574.6165093511556,621.9279211400082,0.3587815283029234,0.0034308284565183526,0.23967069240841612,0.23490054360890153,0.0020201118673036887,0.05281214734797992,0.0102800583222729
39,TRAPPIST-1 f,TRAPPIST-1,0,5773500.000000001,1.045,1.039,2566.0,83561.04,0.9102151882456437,0.9958769414040944,225.3847370102098,483.14423060502435,207.02336800759548,224.0687672509662,0.8103406580556263,0.01630112266489011,0.8536110109872196,0.28558427856954993,0.002350550819095944,0.10686383219261598,0.004121360652217675
50,GJ 3929 b,GJ 3929,0,3853500.0,1.15,1.21,3369.0,222829.44,0.7953700823859149,1.0244713397386411,591.486900543833,1267.9362731792057,543.3003667742195,588.0333442630049,0.5382353285732853,0.009938424466975033,0.4030504229089002,0.38464038294861375,0.0011903462529134624,0.0528194139770365,0.006554199254279976
54,TRAPPIST-1 c,TRAPPIST-1,0,2370000.0,1.097,1.308,2566.0,83561.04,0.9905245937330067,1.0905776834692316,351.77900362408775,754.0883127381553,323.12070058814936,349.7250467464081,0.8237634440010092,0.012657825703080708,0.5830909801887763,0.43076209121641307,0.0021793267047399063,0.082768502902084,0.006734399669295382
55,TRAPPIST-1 g,TRAPPIST-1,0,7024499.999999999,1.129,1.321,2566.0,83561.04,0.9176950595768326,1.0803400741016758,204.33199678666384,438.01468850576595,187.6857267605308,203.1389491465083,0.7116871943360717,0.019781996078861785,0.8233476930425251,0.29754163294712394,0.0028990303244578147,0.08932850220004909,0.004476573024608453
56,TRAPPIST-1 g,TRAPPIST-1,0,6765000.0,1.127,1.34,2559.0,83561.04,0.9358590664220536,1.0890466649913726,207.646120196941,445.1189832616079,190.72985920485564,206.43372215070127,0.723433488377527,0.01938196169812839,0.8057150708316124,0.3051853322477959,0.002943205353935818,0.09058687870211576,0.004631864585987965
59,TRAPPIST-1 b,TRAPPIST-1,0,1731000.0,1.116,1.374,2566.0,83561.04,0.9882607581826222,1.1081978858681525,411.6191329845953,882.3641385225689,378.0858472371937,409.2157833233924,0.7398439550652327,0.011605616683113159,0.516685222187465,0.4791020979107589,0.0020075399634403674,0.07300096639417647,0.007593713602305134
60,TRAPPIST-1 c,TRAPPIST-1,0,2281500.0,1.056,1.38,2559.0,83561.04,1.171560534911333,1.1417305774808217,357.55881128015284,766.4781522635714,328.4296459198844,355.4711074318907,0.752190785420338,0.010937776440394283,0.5238236583249598,0.4040732012410625,0.002535663331760524,0.08161369638418559,0.007877206356011626
61,LHS 1678 c,LHS 1678,0,4965000.0,0.982,1.4,3490.0,229792.86000000002,1.4779882252422083,1.1925162952135844,548.1754514042408,1175.092023615008,503.51736197491095,544.9747807360445,0.5071107447721498,0.006257360289295485,0.3432148521213193,0.36334157400657774,0.00222783612059386,0.05572466336368644,0.01134265549424776
63,TOI-500 b,TOI-500,0,1783500.0,1.166,1.42,4440.0,473512.56000000006,0.8955092887262255,1.1021759879388358,1670.3123108754257,3580.5519353843874,1534.2373437040517,1660.5597405871158,0.24703405981679755,0.003902092589999402,0.17212859093077962,0.21439828519534848,0.000592516507950759,0.022832568195717086,0.004014776134393323
