,Name,starName,controversial,planetSemimajor,planetEarthRads,earthMass,stellarEffTemp,stellarRadius,density,escapeVelocity,surfaceEarthTemp,surfaceVenusTemp,surfaceMarsTemp,surfaceTitanTemp,similarityIndex_Earth
5,K2-266 c,K2-266,0,10185000.0,0.705,0.29013,4285.0,487439.39999999997,0.827756669859288,0.6407045508707235,684.4096778400494,1467.1294587427374,628.6530245258889,680.4135667860415,0.3499062814246254
7,TRAPPIST-1 h,TRAPPIST-1,0,9283500.0,0.755,0.326,2566.0,83561.04,0.7572759195704841,0.6562833291240616,177.74124447710105,381.0136300657238,163.26123744503616,176.70345413776857,0.44471959799266736
9,LHS 1678 b,LHS 1678,0,1876500.0,0.696,0.35,3490.0,229792.86000000002,1.0378097043054109,0.7082481529982575,891.6715804694944,1911.4248170175993,819.0299671316621,886.4653147274552,0.32955713284973753
10,TRAPPIST-1 d,TRAPPIST-1,0,3340500.0000000005,0.788,0.388,2566.0,83561.04,0.7927394571962332,0.7008237358353779,296.30456975720205,635.1709759903182,272.16559027419294,294.5745153688763,0.6377131129344075
12,L 98-59 b,L 98-59,0,3286500.0,0.85,0.4,3415.0,208902.6,0.651149356986065,0.6851356738096475,628.6100636096577,1347.515051649241,577.3992252458738,624.9397536985254,0.37386488002166285
13,TRAPPIST-1 d,TRAPPIST-1,0,3216000.0,0.772,0.41,2559.0,83561.04,0.8908597911610309,0.7278457097882689,301.1616731694951,645.5828677724803,276.62700110667777,299.4032592689287,0.6810374583959772
18,GJ 367 b,GJ 367,0,1065000.0,0.718,0.546,3522.0,320317.32,1.4746763380334145,0.870943831273646,1410.2310610625375,3023.0307961869767,1295.3440761024842,1401.997045509744,0.2157753995000905
21,TRAPPIST-1 e,TRAPPIST-1,0,4225500.0,0.918,0.62,2559.0,83561.04,0.8012001976073901,0.8207871571141606,262.7354461855662,563.2107865149844,241.33123513971725,261.2013942065011,0.7272669618689435
25,TRAPPIST-1 f,TRAPPIST-1,0,5565000.0,1.045,0.68,2559.0,83561.04,0.5957135014504696,0.8056610339840956,228.94182317557022,490.76935057258004,210.2906698134528,227.60508440646936,0.5727401551433142
26,TRAPPIST-1 e,TRAPPIST-1,0,4387500.0,0.92,0.692,2566.0,83561.04,0.888423452045217,0.8661940213356816,258.5446305286141,554.2271772739829,237.4818317439501,257.0350477604826,0.786185768547638
31,GJ 9827 c,GJ 9827,0,5887500.0,1.241,0.84,4340.0,417805.2,0.4393810712869668,0.821693403561248,844.1054553220065,1809.4600644700283,775.3389010828654,839.1769172694675,0.25266621976233117
32,TRAPPIST-1 b,TRAPPIST-1,0,1666500.0,1.086,0.85,2559.0,83561.04,0.6634479428262061,0.8835896060475205,418.3647279571588,896.824280483489,384.28190030165626,415.92199231485637,0.5898925076298221
37,L 98-59 b,L 98-59,0,3423000.0,0.8,1.01,3412.0,215866.02,1.972099462146767,1.1222038172380744,625.580542371832,1341.0208421168336,574.6165093511556,621.9279211400082,0.3587815283029234
39,TRAPPIST-1 f,TRAPPIST-1,0,5773500.000000001,1.045,1.039,2566.0,83561.04,0.9102151882456437,0.9958769414040944,225.3847370102098,483.14423060502435,207.02336800759548,224.0687672509662,0.8103406580556263
50,GJ 3929 b,GJ 3929,0,3853500.0,1.15,1.21,3369.0,222829.44,0.7953700823859149,1.0244713397386411,591.486900543833,1267.9362731792057,543.3003667742195,588.0333442630049,0.5382353285732853
54,TRAPPIST-1 c,TRAPPIST-1,0,2370000.0,1.097,1.308,2566.0,83561.04,0.9905245937330067,1.0905776834692316,351.77900362408775,754.0883127381553,323.12070058814936,349.7250467464081,0.8237634440010092
55,TRAPPIST-1 g,TRAPPIST-1,0,7024499.999999999,1.129,1.321,2566.0,83561.04,0.9176950595768326,1.0803400741016758,204.33199678666384,438.01468850576595,187.6857267605308,203.1389491465083,0.7116871943360717
56,TRAPPIST-1 g,TRAPPIST-1,0,6765000.0,1.127,1.34,2559.0,83561.04,0.9358590664220536,1.0890466649913726,207.646120196941,445.1189832616079,190.72985920485564,206.43372215070127,0.723433488377527
