,Name,starName,controversial,planetSemimajor,planetEarthRads,earthMass,stellarEffTemp,stellarRadius,density,escapeVelocity,surfaceEarthTemp,surfaceVenusTemp,surfaceMarsTemp,surfaceTitanTemp,similarityIndex_Earth,similarityIndex_Jupiter,similarityIndex_Arrakis,similarityIndex_Erid,similarityIndex_Mesklin
5,K2-266 c,K2-266,0,10185000.0,0.705,0.29013,4285.0,487439.39999999997,0.827756669859288,0.6407045508707235,684.4096778400494,1467.1294587427374,628.6530245258889,680.4135667860415,0.3465290668727902,0.0034934232699611483,0.42278305013617073,0.17444647847820174,0.00030161971836363826
7,TRAPPIST-1 h,TRAPPIST-1,0,9283500.0,0.755,0.326,2566.0,83561.04,0.7572759195704841,0.6562833291240616,177.74124447710105,381.0136300657238,163.26123744503616,176.70345413776857,0.4485431842919352,0.010940438912048768,0.46708249525011086,0.13897310033263227,0.0008547172945568343
9,LHS 1678 b,LHS 1678,0,1876500.0,0.696,0.35,3490.0,229792.86000000002,1.0378097043054109,0.7082481529982575,891.6715804694944,1911.4248170175993,819.0299671316621,886.4653147274552,0.3261411587644967,0.0025086088132993075,0.3568949857755804,0.16986585064650492,0.000320007157498305
10,TRAPPIST-1 d,TRAPPIST-1,0,3340500.0000000005,0.788,0.388,2566.0,83561.04,0.7927394571962332,0.7008237358353779,296.30456975720205,635.1709759903182,272.16559027419294,294.5745153688763,0.6332784107757637,0.008359917874292778,0.6869316484568722,0.2148775468743392,0.0006928494329616884
12,L 98-59 b,L 98-59,0,3286500.0,0.85,0.4,3415.0,208902.6,0.651149356986065,0.6851356738096475,628.6100636096577,1347.515051649241,577.3992252458738,624.9397536985254,0.37034885932919215,0.005684684415995711,0.4527011182083237,0.1925365826780205,0.00032840671150203513
13,TRAPPIST-1 d,TRAPPIST-1,0,3216000.0,0.772,0.41,2559.0,83561.04,0.8908597911610309,0.7278457097882689,301.1616731694951,645.5828677724803,276.62700110667777,299.4032592689287,0.6762635260781793,0.0076551329144988415,0.7431825380093888,0.2341770096480928,0.0007765188285873498
18,GJ 367 b,GJ 367,0,1065000.0,0.718,0.546,3522.0,320317.32,1.4746763380334145,0.870943831273646,1410.2310610625375,3023.0307961869767,1295.3440761024842,1401.997045509744,0.2133182280032222,0.0015255133267671871,0.23251060489478734,0.11898471970365361,0.00036178210098316584
21,TRAPPIST-1 e,TRAPPIST-1,0,4225500.0,0.918,0.62,2559.0,83561.04,0.8012001976073901,0.8207871571141606,262.7354461855662,563.2107865149844,241.33123513971725,261.2013942065011,0.7325548244135035,0.011928393001918019,0.7664463154659454,0.25097851998327164,0.0010228801227476778
25,TRAPPIST-1 f,TRAPPIST-1,0,5565000.0,1.045,0.68,2559.0,83561.04,0.5957135014504696,0.8056610339840956,228.94182317557022,490.76935057258004,210.2906698134528,227.60508440646936,0.5771767042224851,0.018054088436779466,0.5931544092138006,0.20788949286617267,0.0009413544424161765
26,TRAPPIST-1 e,TRAPPIST-1,0,4387500.0,0.92,0.692,2566.0,83561.04,0.888423452045217,0.8661940213356816,258.5446305286141,554.2271772739829,237.4818317439501,257.0350477604826,0.791945853300968,0.011680417176544243,0.8250487847882347,0.2733736785571885,0.0012019736745159779
31,GJ 9827 c,GJ 9827,0,5887500.0,1.241,0.84,4340.0,417805.2,0.4393810712869668,0.821693403561248,844.1054553220065,1809.4600644700283,775.3389010828654,839.1769172694675,0.2500827876706444,0.009608365864063315,0.30280374649313274,0.1811402246162229,0.0002905984203307133
32,TRAPPIST-1 b,TRAPPIST-1,0,1666500.0,1.086,0.85,2559.0,83561.04,0.6634479428262061,0.8835896060475205,418.3647279571588,896.824280483489,384.28190030165626,415.92199231485637,0.5851013663087294,0.012178501451242857,0.6876689964911683,0.3437491505103625,0.00074798370078881
37,L 98-59 b,L 98-59,0,3423000.0,0.8,1.01,3412.0,215866.02,1.972099462146767,1.1222038172380744,625.580542371832,1341.0208421168336,574.6165093511556,621.9279211400082,0.3554124856450343,0.0033187115076769077,0.34817881095273634,0.22220708302208245,0.0013619426066234944
39,TRAPPIST-1 f,TRAPPIST-1,0,5773500.000000001,1.045,1.039,2566.0,83561.04,0.9102151882456437,0.9958769414040944,225.3847370102098,483.14423060502435,207.02336800759548,224.0687672509662,0.8166611954408366,0.01588873044177279,0.7587398028656693,0.30403635188008926,0.0017352867678220162
50,GJ 3929 b,GJ 3929,0,3853500.0,1.15,1.21,3369.0,222829.44,0.7953700823859149,1.0244713397386411,591.486900543833,1267.9362731792057,543.3003667742195,588.0333442630049,0.5332713717013078,0.009616691198947414,0.5820002326184435,0.3643257011539639,0.0008055781575985487
54,TRAPPIST-1 c,TRAPPIST-1,0,2370000.0,1.097,1.308,2566.0,83561.04,0.9905245937330067,1.0905776834692316,351.77900362408775,754.0883127381553,323.12070058814936,349.7250467464081,0.8175521442242631,0.012291079952997183,0.7915940012216217,0.45403625484312765,0.0015380716780419275
55,TRAPPIST-1 g,TRAPPIST-1,0,7024499.999999999,1.129,1.321,2566.0,83561.04,0.9176950595768326,1.0803400741016758,204.33199678666384,438.01468850576595,187.6857267605308,203.1389491465083,0.7174756194283238,0.019299108983373937,0.6551167888524365,0.31741455436088273,0.002163490668235244
56,TRAPPIST-1 g,TRAPPIST-1,0,6765000.0,1.127,1.34,2559.0,83561.04,0.9358590664220536,1.0890466649913726,207.646120196941,445.1189832616079,190.72985920485564,206.43372215070127,0.7292781076446693,0.01890598500248009,0.6528378292029696,0.3254611497779263,0.00219252074119199
59,TRAPPIST-1 b,TRAPPIST-1,0,1731000.0,1.116,1.374,2566.0,83561.04,0.9882607581826222,1.1081978858681525,411.6191329845953,882.3641385225689,378.0858472371937,409.2157833233924,0.7338747836744753,0.011256197416767807,0.7153091608652006,0.5031254256363272,0.0013971919347041633
60,TRAPPIST-1 c,TRAPPIST-1,0,2281500.0,1.056,1.38,2559.0,83561.04,1.171560534911333,1.1417305774808217,357.55881128015284,766.4781522635714,328.4296459198844,355.4711074318907,0.7464775815214119,0.010619534399086594,0.7125991053696723,0.4257430742928771,0.0017868790439055802
61,LHS 1678 c,LHS 1678,0,4965000.0,0.982,1.4,3490.0,229792.86000000002,1.4779882252422083,1.1925162952135844,548.1754514042408,1175.092023615008,503.51736197491095,544.9747807360445,0.5025517927092731,0.006057511164839849,0.49144520049906404,0.3447613525113262,0.0015158446092711521
63,TOI-500 b,TOI-500,0,1783500.0,1.166,1.42,4440.0,473512.56000000006,0.8955092887262255,1.1021759879388358,1670.3123108754257,3580.5519353843874,1534.2373437040517,1660.5597405871158,0.24414462695898703,0.003759968763655343,0.2712557829915688,0.1989251582493371,0.00038125867629533087
72,GJ 9827 c,GJ 9827,0,6435000.0,1.24,1.45,4219.0,431732.04,0.7602918736804521,1.0800135563352953,797.8622308046401,1710.3311375226535,732.8629632083192,793.2036963283948,0.3933862931968909,0.0086397464140476,0.43256656696714646,0.32014211356902333,0.0006681333902592684
74,TOI-178 b,TOI-178,0,3910500.0,1.152,1.5,4316.0,452622.3,0.9808694846813257,1.1396603480759493,1072.0592333731993,2298.1113998311403,984.7220186276709,1065.799725520309,0.36435346470289,0.0053361090910536485,0.36657626287690503,0.2961460349232908,0.0006396812144709796
75,LTT 1445 A c,LTT 1445 A,0,3991500.0000000005,1.147,1.54,3340.0,188012.34000000003,1.0202529729994596,1.157270012522518,529.245403074369,1134.5127734094474,486.1294837459647,526.1552606143985,0.6025841145202302,0.00955393475799998,0.5836103230524479,0.4684435243498515,0.0012486126966874394
77,TOI-270 b,TOI-270,0,4795500.0,1.206,1.58,3506.0,264609.96,0.9005183467909643,1.1431703132480626,601.289437372195,1288.949404666019,552.3043224818949,597.7786463282631,0.5193111440991963,0.009848242595640924,0.5623509457554362,0.42695124722179684,0.001031619893962223
78,TOI-561 b,TOI-561,0,1582500.0,1.423,1.59,5455.0,591890.7,0.5516451774921732,1.0557282924640858,2435.73014386949,5221.33389302214,2237.299049751734,2421.5084744985725,0.12075265154331086,0.0043595068197164666,0.1365525756229365,0.12027902389177361,0.00019249133338725244
82,K2-138 f,K2-138,0,15670499.999999998,2.904,1.63,5356.3,598854.12,0.06653883154321708,0.7482583026200428,764.4859434879154,1638.784319978568,702.205734579814,760.0222854942895,0.029945446984435756,0.01221028542424237,0.03707688550233756,0.03934795106808109,8.987891906020936e-05
85,GJ 1132 b,GJ 1132,0,2295000.0,1.13,1.66,3270.0,146231.82,1.1501385478416886,1.2105169377226184,602.6468175842318,1291.8591421526053,553.551121297513,599.1281011087267,0.5110543087822764,0.007968434855667717,0.49476830521603415,0.41627502921001963,0.0012843768166089292
95,LHS 1140 c,LHS 1140,0,4101000.0,1.169,1.76,2988.0,146231.82,1.101403712870658,1.225476892319672,411.94778143620596,883.0686432081978,378.3877217573829,409.5425128721107,0.649014937614898,0.01166771016857748,0.6220407766918994,0.528728832975656,0.0017667020673170573
98,K2-3 d,K2-3,0,31455000.0,1.65,1.8,3835.0,417805.2,0.4005881280832128,1.0431585660835465,322.6955385949044,691.743770151776,296.40657183416937,320.81139339560247,0.3985909280441595,0.034875273406555926,0.4307546948496149,0.3084263917218974,0.000951207601964384
100,LHS 1140 c,LHS 1140,0,4012500.0,1.282,1.81,3216.0,146231.82,0.8587997338292761,1.1867283654506613,448.2445079705334,960.8758374642765,411.7274708214321,445.6273111493949,0.5794810297528501,0.014120080982881988,0.6241238854268553,0.5206543611415438,0.0013799795544592462
103,GJ 357 b,GJ 357,0,5250000.000000001,1.217,1.84,3505.0,236756.28000000003,1.0205246286806822,1.2280602396601665,543.4312908527619,1164.9222409140298,499.1596929119369,540.2583202493596,0.5553021245352855,0.010353294793751187,0.5374433207779177,0.4971379792224101,0.0013609499580949337
