,Name,starName,controversial,planetSemimajor,planetEarthRads,earthMass,stellarEffTemp,stellarRadius,density,escapeVelocity,surfaceEarthTemp,surfaceVenusTemp,surfaceMarsTemp,surfaceTitanTemp,similarityIndex_Earth,similarityIndex_Jupiter,similarityIndex_Arrakis,similarityIndex_Erid
5,K2-266 c,K2-266,0,10185000.0,0.705,0.29013,4285.0,487439.39999999997,0.827006890267024,0.6407045508707235,684.4096778400494,1467.1294587427374,628.6530245258889,680.4135667860415,0.3463572640043865,0.003495877158444388,0.42278305013617073,0.18045926762185122
7,TRAPPIST-1 h,TRAPPIST-1,0,9283500.0,0.755,0.326,2566.0,83561.04,0.7565899812375398,0.6562833291240616,177.74124447710105,381.0136300657238,163.26123744503616,176.70345413776857,0.44831189006815736,0.010947966035259873,0.46708249525011086,0.12043925894573718
9,LHS 1678 b,LHS 1678,0,1876500.0,0.696,0.35,3490.0,229792.86000000002,1.036869659283395,0.7082481529982575,891.6715804694944,1911.4248170175993,819.0299671316621,886.4653147274552,0.3262916776606733,0.0025104550994065416,0.3568949857755804,0.18443862952793239
10,TRAPPIST-1 d,TRAPPIST-1,0,3340500.0000000005,0.788,0.388,2566.0,83561.04,0.7920213960937001,0.7008237358353779,296.30456975720205,635.1709759903182,272.16559027419294,294.5745153688763,0.6329583131752877,0.008365732294517519,0.686931648456872,0.18923411403773782
12,L 98-59 b,L 98-59,0,3286500.0,0.85,0.4,3415.0,208902.6,0.6505595477858964,0.6851356738096475,628.6100636096577,1347.515051649241,577.3992252458738,624.9397536985254,0.37014561860167317,0.005688447638666079,0.4527011182083237,0.19824228432208552
13,TRAPPIST-1 d,TRAPPIST-1,0,3216000.0,0.772,0.41,2559.0,83561.04,0.8900528529443994,0.7278457097882689,301.1616731694951,645.5828677724803,276.62700110667777,299.4032592689287,0.6759394306219155,0.00766059729037795,0.7431825380093888,0.20662405878347578
18,GJ 367 b,GJ 367,0,1065000.0,0.718,0.546,3522.0,320317.32,1.4733405804808477,0.870943831273646,1410.2310610625375,3023.0307961869767,1295.3440761024842,1401.997045509744,0.21343343309725743,0.0015267023725136551,0.23251060489478734,0.13206269477462979
21,TRAPPIST-1 e,TRAPPIST-1,0,4225500.0,0.918,0.62,2559.0,83561.04,0.8004744727907167,0.8207871571141606,262.7354461855662,563.2107865149844,241.33123513971725,261.2013942065011,0.732186284872047,0.011936709788476645,0.7664463154659454,0.22042916245431296
25,TRAPPIST-1 f,TRAPPIST-1,0,5565000.0,1.045,0.68,2559.0,83561.04,0.5951739058875616,0.8056610339840956,228.94182317557022,490.76935057258004,210.2906698134528,227.60508440646936,0.5768489625362783,0.018065747376753767,0.5931544092138006,0.1812833253446418
26,TRAPPIST-1 e,TRAPPIST-1,0,4387500.0,0.92,0.692,2566.0,83561.04,0.8876187206574949,0.8661940213356816,258.5446305286141,554.2271772739829,237.4818317439501,257.0350477604826,0.7915658283252807,0.011688750015487002,0.8250487847882348,0.24030804242531117
