,Name,starName,controversial,solution,orbitalPeriod,planetSemimajor,planetEarthRads,earthMass,stellarEffTemp,stellarRadius,distance,density,escapeVelocity,surfaceEarthTemp,surfaceVenusTemp,surfaceMarsTemp,surfaceTitanTemp,similarityIndex_Earth,similarityIndex_Jupiter,similarityIndex_Arrakis,similarityIndex_Erid,similarityIndex_Mesklin,similarityIndex_Habranah,similarityIndex_Dhrawn,similarityIndex_Hekla,similarityIndex_Sarr,similarityIndex_Tenebra
161,55 Cnc e,55 Cnc,0,Published Confirmed,0,110480850.00000001,0.01544,1.91,8.08,3655795500.0,0.96,518292.9722938423,11.108337950371439,33.9347240111205,72.74390600107034,31.170171283036552,33.736586944789835,4.086286555402287e-09,7.151566276828571e-10,3.131358602312405e-09,2.5221951392800056e-09,4.90327786432057e-08,6.503957445674341e-09,1.2137974420412231e-08,3.514930890042228e-10,1.6571608608178895e-09,1.6640677209765601e-09
162,55 Cnc e,55 Cnc,0,Published Confirmed,0,110481555.0,0.01544,2.08,7.81,3644654028.0,0.94,564423.7604037655,11.5921520166634,32.750641895026575,70.20565762390781,30.082552525337704,32.559418412454555,3.495097363844178e-09,6.20338287018419e-10,2.676680425175771e-09,2.1609486010207012e-09,4.515339124732717e-08,5.5566020345218264e-09,1.109287921725883e-08,3.00601579133857e-10,1.4131453268004337e-09,1.428307787031964e-09
166,55 Cnc e,55 Cnc,0,Published Confirmed,0,110481900.0,0.01583,2.173,8.37,3655795500.0,0.96,547142.9688495909,11.701605539572746,35.15251117174436,75.35440593360853,32.28874924378523,34.9472637256345,3.90272944721704e-09,6.890325710663519e-10,2.9909851698114707e-09,2.421783654113171e-09,5.0670454800471085e-08,6.174058055771463e-09,1.2558667076518377e-08,3.35451364450866e-10,1.584759987144459e-09,1.603499567767812e-09
206,AU Mic b,AU Mic,0,Published Confirmed,0,1269449999.9999998,0.0645,4.07,17.0,2576465400.0,0.75,15149.528142138293,7.933656544869365,17.682301680677696,37.904527849416695,16.241781482720533,17.579058778810122,4.143291682695776e-07,7.332244128568742e-08,3.161520865759366e-07,2.4957647159037963e-07,3.2282421031380763e-06,5.949003135856727e-07,7.615864995424421e-07,3.682499700156215e-08,1.6154664590599032e-07,1.6117814895435922e-07
214,AU Mic c,AU Mic,0,Published Confirmed,0,2828852850.0,0.1101,3.24,13.6,2576465400.0,0.75,2424.749587827429,5.417948765888886,9.476138601963518,20.313450478879762,8.70414809409391,9.420809603203411,3.2469997536766047e-06,5.470612834005932e-07,2.4763197370946655e-06,1.896541151236231e-06,1.4512930317997957e-05,4.3849026170440845e-06,3.362011593580312e-06,2.973374045041824e-07,1.242749113945404e-06,1.1933508711613044e-06
224,BD+20 594 b,BD+20 594,0,Published Confirmed,0,6252825000.0,0.241,2.23,16.3,4015107972.0,0.93,159.12469206035667,3.0380852660692983,9.536381110029671,20.442588860632828,8.759482838950724,9.480700369089115,0.00015401923909192026,1.3301451311403983e-05,0.00011810018803857325,8.745697876724196e-05,0.00027422295149674437,0.00015652673301838006,6.720058138202655e-05,1.5129899473639724e-05,5.857337358210913e-05,5.328191527349785e-05
258,CoRoT-1 b,CoRoT-1,0,Published Confirmed,0,226345290.0,0.02536,17.385,327.3649,4143234900.0,1.13,1064659.633856931,26.149824056525656,1022.5903193256764,2192.067748724128,939.2831777653792,1016.6196491100314,3.0084318433538138e-09,1.480808236982541e-10,2.8108762154267875e-09,4.530503861782444e-09,2.2318516619635442e-08,2.3118398663175427e-09,1.7901038470133847e-08,2.175008780221208e-10,6.2266278990874475e-09,5.026734062910355e-09
259,CoRoT-1 b,CoRoT-1,0,Published Confirmed,0,226343355.0,0.0261,16.589,359.1479,4143234900.0,1.14,931928.3553714652,25.17943021017846,1121.8757282563433,2404.9001398808514,1030.4801240337813,1115.3253533214697,3.407526752149261e-09,1.653091271136117e-10,3.190203126847152e-09,5.1728226392529245e-09,2.4333350377772968e-08,2.6010866456728246e-09,1.995353545594422e-08,2.4611431554029874e-10,7.195689195373455e-09,5.769804977908212e-09
260,CoRoT-1 b,CoRoT-1,0,Published Confirmed,0,226345230.0,0.02752,19.223,390.9309,4385561916.0,1.23,921212.2790480432,26.39626115367014,1256.3552722709276,2693.1761637453133,1154.0040524920057,1249.0197021382442,3.1664447455616416e-09,1.5301384464321274e-10,2.970656955719522e-09,4.869218634068845e-09,2.3050128493167138e-08,2.3879637106499484e-09,1.8858315503998014e-08,2.283964791678928e-10,6.839798760061893e-09,5.480942516231665e-09
261,CoRoT-1 b,CoRoT-1,0,Published Confirmed,0,226346482.5,0.0259,15.917,340.0781,4143234900.0,,915051.9796464939,24.759209484195832,1062.299766377285,2277.1905946541574,975.7576239918371,1056.0972418126305,3.655091401329987e-09,1.7791978361396147e-10,3.4182924879213004e-09,5.515447789629383e-09,2.563481609896356e-08,2.8020166242549026e-09,2.1285353038007508e-08,2.642306602311524e-10,7.630368162854786e-09,6.125835050918608e-09
264,CoRoT-10 b,CoRoT-10,0,Published Confirmed,0,1986090000.0,0.106,10.548,883.5674,3533935650.0,0.74,8845.784729868818,9.962955170882237,860.5082871380109,1844.6218667402861,790.405446992128,855.4839767145378,3.964751550477015e-06,1.7741403919635707e-07,3.699293685474267e-06,5.767870858772203e-06,7.410152497651985e-06,2.5876682951553015e-06,8.482534881196598e-06,3.0075080617627735e-07,7.820272754084626e-06,6.1335539514951555e-06
266,CoRoT-10 b,CoRoT-10,0,Published Confirmed,0,1986090000.0,0.1055,10.873,867.6759,3533935650.0,0.79,9248.596876162022,10.13921920635587,845.0315193837301,1811.4452144607844,776.1895216865141,840.0975742556432,3.7669220719594236e-06,1.6963764397361885e-07,3.5128672724443524e-06,5.475765938838254e-06,7.261013182878716e-06,2.461309361190008e-06,8.283678837475449e-06,2.857167174112547e-07,7.397304965702007e-06,5.820990490845089e-06
268,CoRoT-11 b,CoRoT-11,0,Published Confirmed,0,449149500.0,0.044,15.984,743.7222,4484442480.0,1.37,187417.9927694072,19.035857516797847,1715.7540437780535,3677.9627510937253,1575.9770849056813,1705.736149639066,2.581063577153776e-08,1.172974090044855e-09,2.4361284440408035e-08,4.0494789579653705e-08,1.1783907312803446e-07,1.8425141650163707e-08,1.354172750786432e-07,1.872208902762174e-09,5.9030252438712576e-08,4.6053578577904416e-08
270,CoRoT-11 b,CoRoT-11,0,Published Confirmed,0,449148750.0,0.04407,16.029,832.7146,4484442480.0,1.37,187051.46684726365,19.047489263553125,1921.0595503673767,4118.06429628212,1764.5570127590122,1909.842924487892,2.3479835548700273e-08,1.0583978938193633e-09,2.2198693783035618e-08,3.714207261855761e-08,1.0628098000352132e-07,1.6681930576764312e-08,1.2300842194918706e-07,1.7009493279147206e-09,5.473340877009603e-08,4.2503252118363624e-08
273,CoRoT-12 b,CoRoT-12,0,Published Confirmed,0,424206300.0,0.0394,15.132,281.91521,3951740850.0,1.05,247110.67558123448,19.57294175115226,628.2170166607181,1346.6724996279456,577.038198566632,624.5490016605262,3.7500578226644514e-08,1.9085957345195573e-09,3.464895041052126e-08,5.325645243280335e-08,2.0285069485347804e-07,2.8777544462564297e-08,2.0308315641208267e-07,2.760172662440771e-09,5.430041660943443e-08,5.469975980709124e-08
275,CoRoT-12 b,CoRoT-12,0,Published Confirmed,0,424206300.0,0.04013,16.141,290.81445,3951740850.0,1.12,249463.37819639198,20.030264635732454,648.0479935113383,1389.1830182182305,595.2536095698629,644.2641899880288,3.620283766955309e-08,1.8421299254995643e-09,3.347433858674864e-08,5.1675306341040144e-08,2.018200786085565e-07,2.7630117337655087e-08,1.979915450765171e-07,2.663368425616368e-09,5.446497857774854e-08,5.493358007313125e-08
279,CoRoT-13 b,CoRoT-13,0,Published Confirmed,0,605278500.0,0.051,14.034,416.99296,4139753190.0,1.27,105670.74876883415,16.567679946817513,796.2030575159163,1706.7744636650773,731.3389574264891,791.5542105717651,1.1109537964699394e-07,5.364300636269158e-09,1.03308187222441e-07,1.6166751038325733e-07,4.518607753801061e-07,8.150744159967396e-08,4.937167228206097e-07,8.191839549943165e-09,2.1557737481757434e-07,1.740116405027908e-07
281,CoRoT-13 b,CoRoT-13,0,Published Confirmed,0,605278500.0,0.05107,9.92,423.03173,4139753190.0,1.01,74387.1533576407,13.919670513536536,807.7334371598206,1731.4914719041294,741.9299941575129,803.0172669748623,1.8411058718189957e-07,8.573502546869339e-09,1.7139203826632474e-07,2.656937274626123e-07,5.69035566697303e-07,1.3604104158855196e-07,6.308987032490998e-07,1.3593181058613402e-08,3.6102917630831097e-07,2.8400813431967417e-07
283,CoRoT-14 b,CoRoT-14,0,Published Confirmed,0,226821000.0,0.02687,11.411,2437.7561,4202423970.0,1.19,587495.5034329722,20.58183383810192,7660.9754580502695,16422.3901869451,7036.8604484395655,7616.2447803529385,1.196354490068142e-09,5.083523448342343e-11,1.1447886138208008e-09,1.999119315778338e-09,5.62442730493127e-09,8.666033905396714e-10,6.310522035577655e-09,8.51277492673147e-11,3.2408199743216825e-09,2.3999526998860606e-09
285,CoRoT-14 b,CoRoT-14,0,Published Confirmed,0,226821000.0,0.02691,12.218,2358.2986,4205905680.0,1.21,626242.9768332734,21.281354186818632,7414.3390930353535,15893.690070002605,6810.316754151049,7371.048468476468,1.1235334494292282e-09,4.8026392081193896e-11,1.0748311143905056e-09,1.8787912831612463e-09,5.5586731364451505e-09,8.130970850605536e-10,6.012747580553853e-09,7.993916081854795e-11,3.0365983881859893e-09,2.2567871281386834e-09
286,CoRoT-16 b,CoRoT-16,0,Published Confirmed,0,802840500.0,0.0618,13.115,168.13207,3934332300.0,1.19,55499.198411689875,14.549429289088062,271.74212041316747,582.5178733555961,249.60416461080547,270.1554805300939,5.238726413702669e-07,3.1717560743865484e-08,4.188850243266923e-07,3.9997589994353717e-07,2.3152607248691137e-06,4.359036989309295e-07,2.124651929677986e-06,4.223932621243211e-08,2.823739970546429e-07,2.926009440099e-07
288,CoRoT-17 b,CoRoT-17,0,Published Confirmed,0,565215000.0,0.0481,11.287,781.8618,3997003080.0,1.62,101304.12664807138,15.299342693002275,1518.0144798646052,3254.079879811238,1394.3467267334647,1509.1511416630249,7.091401634357122e-08,3.1387367443328314e-09,6.685023357170563e-08,1.0916915484370785e-07,2.3454162442770124e-07,5.075460170914025e-08,2.753882850807623e-07,5.170651275570805e-09,1.5888951062410122e-07,1.2222791121479453e-07
290,CoRoT-17 b,CoRoT-17,0,Published Confirmed,0,565215000.0,0.0481,11.433,765.9703,3997003080.0,1.59,102614.51935566579,15.39797505789575,1487.1605270218286,3187.9400448557244,1366.0063461088007,1478.4773379706867,7.079684832290946e-08,3.1429950599502347e-09,6.67146886010899e-08,1.0884667855670512e-07,2.3699577354646244e-07,5.0703231093497315e-08,2.7768026687360675e-07,5.163233155892491e-09,1.5800664094143669e-07,1.217527522053553e-07
291,CoRoT-18 b,CoRoT-18,0,Published Confirmed,0,285010395.0,0.0295,14.684,1099.6918,3788100480.0,1.0,571297.296360237,22.282669981020213,2927.0955464900217,6274.645499407761,2688.6344947437465,2910.004907289271,3.087582283523509e-09,1.3741192302112392e-10,2.933595408569411e-09,5.009535128985186e-09,1.6991695948659894e-08,2.250815452337981e-09,1.6999972028567656e-08,2.2101536699142624e-10,7.667682181030336e-09,5.866696839128416e-09
292,CoRoT-18 b,CoRoT-18,0,Published Confirmed,0,285010395.0,0.0286,14.022,1039.3041,3788100480.0,0.92,598681.315501352,22.114545242036296,2766.359085844616,5930.084041347798,2540.9927161306505,2750.2069499525774,3.0313082870308716e-09,1.3503154412680346e-10,2.8785230373758712e-09,4.900027339830531e-09,1.653623899927765e-08,2.2202293474004217e-09,1.6635446114338234e-08,2.1700416865844595e-10,7.476435500061046e-09,5.722664419396537e-09
298,CoRoT-19 b,CoRoT-19,0,Published Confirmed,0,584569500.0,0.0512,13.339,346.4347,4240722780.0,1.58,99265.24767254399,16.120655755290535,681.2535344194741,1460.3638165575528,625.7540019500482,677.275851362643,1.3625036840600116e-07,6.688734407068654e-09,1.2621932439453557e-07,1.945293960209398e-07,5.447933599242511e-07,1.0115262423987565e-07,5.841478112076016e-07,1.008157994664691e-08,2.1799286378626632e-07,2.0673495397469362e-07
299,CoRoT-19 b,CoRoT-19,0,Published Confirmed,0,584569500.0,0.05166,14.46,367.09365,4240722780.0,1.65,104758.41727436741,16.709482269175854,721.8787451876079,1547.449732223829,663.0696075709226,717.6638608475713,1.2081569200972154e-07,5.924474989312593e-09,1.1206976929433064e-07,1.7401938039370318e-07,5.060039554285948e-07,8.905283746310198e-08,5.454561588193333e-07,8.928120105845425e-09,2.0759197059372882e-07,1.860422050864998e-07
307,CoRoT-2 b,CoRoT-2,0,Published Confirmed,0,261449025.0,0.02854,16.477,1150.5446,3966364032.0,0.91,707945.9086879342,23.997617937460394,3271.8376667033926,7013.649252000329,3005.2915841606687,3252.7341573724093,2.0296247178528155e-09,9.075486962011043e-11,1.9301481110792805e-09,3.3193907358396e-09,1.2382476627918318e-08,1.4763553295910462e-09,1.1494134095903567e-08,1.4503001648703745e-10,5.106247238619652e-09,3.9134500889690225e-09
310,CoRoT-2 b,CoRoT-2,0,Published Confirmed,0,261449025.0,0.02835,16.365,1134.6531,3898122516.0,0.9,717365.7880250345,23.995926414022552,3198.7687914250064,6857.015728382662,2938.1753949398644,3180.0919144892946,2.031846650604213e-09,9.093068647647561e-11,1.9318525120316353e-09,3.31915187516273e-09,1.2407252402112987e-08,1.4797115574466948e-09,1.1507127317971208e-08,1.4519974540343338e-10,5.098692709609741e-09,3.909674217694772e-09
311,CoRoT-2 b,CoRoT-2,0,Published Confirmed,0,261449509.5,0.0281,16.432,1048.839,3916923750.0,0.9,739699.469828241,24.151722019848812,2963.9644330117694,6353.6791999506995,2722.4997917628443,2946.6585248431056,2.081680265457533e-09,9.356090711569783e-11,1.9777082551682804e-09,3.388229774397351e-09,1.2883681030468924e-08,1.519930075558742e-09,1.1826653112498453e-08,1.4882455949254362e-10,5.175977302756832e-09,3.979729103912348e-09
312,CoRoT-20 b,CoRoT-20,0,Published Confirmed,0,1386427500.0,0.0892,13.002,1608.2198,4094490960.0,1.34,18297.823726235583,12.05809502144061,2017.8194231363534,4325.482841577357,1853.4341701670248,2006.037838563741,6.8492244893729e-07,2.9203139017693464e-08,6.487240456871128e-07,1.0809131889397294e-06,1.566494094712913e-06,4.3984627504131943e-07,1.9104003160202545e-06,5.082370449108122e-08,1.5996572777596205e-06,1.222846708204687e-06
313,CoRoT-20 b,CoRoT-20,0,Published Confirmed,0,1386427500.0,0.0901,9.416,1344.4209,4094490960.0,1.02,12858.073909065875,10.210026697124816,1686.833233175252,3615.9668813976723,1549.4123596455565,1676.9842010127716,1.3379015451649378e-06,5.5559149659553526e-08,1.265006032959769e-06,2.060104083820644e-06,2.3761294125970997e-06,8.725542454498999e-07,2.8955547569708167e-06,9.971377545446139e-08,3.0407015278269236e-06,2.2868050567728447e-06
317,CoRoT-20 b,CoRoT-20,0,Published Confirmed,0,1386427500.0,0.0902,9.42,1347.54,4094490960.0,1.02,12820.80016703501,10.206532689750075,1690.7467408703471,3624.356041592792,1553.0070464664548,1680.8748586344873,1.3409184039133185e-06,5.567418964682631e-08,1.267904980326237e-06,2.065147285611046e-06,2.3798518108046984e-06,8.742456468992866e-07,2.9006536370442425e-06,9.994060514210647e-08,3.0487405838011844e-06,2.292692103529227e-06
320,CoRoT-21 b,CoRoT-21,0,Published Confirmed,0,408711000.0,0.0416,14.572,705.5826,4317320400.0,1.95,202172.9329835459,18.69256778568107,1674.2964496263855,3589.0925032905852,1537.8969074960573,1664.520616866169,2.355660517664431e-08,1.0670371511933776e-09,2.2227783263236908e-08,3.681653376744354e-08,1.0462749742844096e-07,1.6966913131126455e-08,1.219290098692997e-07,1.7075203265605726e-09,5.369237449567528e-08,4.176699794635568e-08
322,CoRoT-23 b,CoRoT-23,0,Published Confirmed,0,544695000.0,0.0484,11.769,982.0947,4108417800.0,1.61,103678.16900781106,15.57410681051249,1969.2438199846615,4221.354129392928,1808.8158650374805,1957.7458572119658,5.484420003381996e-08,2.388547038769785e-09,5.1905447194650726e-08,8.61825732863007e-08,1.823161929920777e-07,3.876530704362827e-08,2.1781752211469688e-07,3.986325461045786e-09,1.285184357765691e-07,9.79896785510294e-08
323,CoRoT-23 b,CoRoT-23,0,Published Confirmed,0,544695000.0,0.04809,13.227,972.5598,4108417800.0,1.74,118790.26829480201,16.56377553442208,1950.1249479459755,4180.370108719211,1791.2545459594467,1938.738615879811,4.5277448426504316e-08,1.995940328494382e-09,4.283495864364123e-08,7.133088931499214e-08,1.6572652742789615e-07,3.195484189760924e-08,1.9697026582616457e-07,3.289157125433541e-09,1.0585782541562687e-07,8.127808030658865e-08
