,Name,starName,controversial,planetSemimajor,planetEarthRads,earthMass,stellarEffTemp,stellarRadius,luminosity,density,escapeVelocity,surfaceEarthTemp,surfaceVenusTemp,surfaceMarsTemp,surfaceTitanTemp,similarityIndex_Earth,similarityIndex_Arrakis,similarityIndex_Erid,similarityIndex_Mesklin,similarityIndex_Dhrawn
5,K2-266 c,K2-266,0,10185000.0,0.705,0.29013,4285.0,487439.39999999997,-0.823,0.827006890267024,0.6407045508707235,20462.86188691984,16890.82710996924,19808.774535731445,16649.976793261758,0.023211508901275102,0.027176535551096507,0.02762526539559132,0.0012628158141301724,0.0035109631703819574
7,TRAPPIST-1 h,TRAPPIST-1,0,9283500.0,0.755,0.326,2566.0,83561.04,-3.257,0.7565899812375398,0.6562833291240616,5279.478417279278,4357.882962308421,5110.7219611834735,4295.742873796912,0.08664287527332332,0.1010069957306823,0.10105467055111657,0.0048173552349651694,0.013187311627440705
9,LHS 1678 b,LHS 1678,0,1876500.0,0.696,0.35,3490.0,229792.86000000002,-1.839,1.036869659283395,0.7082481529982575,26562.72372759426,21925.88585761146,25713.656686075632,21613.239441985024,0.01875489760921213,0.02113291813658531,0.02275958819040617,0.001074330475125154,0.0029726426891296303
10,TRAPPIST-1 d,TRAPPIST-1,0,3340500.0000000005,0.788,0.388,2566.0,83561.04,-3.257,0.7920213960937001,0.7008237358353779,8801.185034888784,7264.834000672225,8519.858608575505,7161.243006667174,0.05467156524296834,0.06384212432341536,0.0649763849146444,0.003061246779496745,0.008449502479152658
12,L 98-59 b,L 98-59,0,3286500.0,0.85,0.4,3415.0,208902.6,-1.948,0.6505595477858964,0.6851356738096475,18850.812397702906,15560.179942161178,18248.25357591638,15338.303639556496,0.025228169966351882,0.029574399136350606,0.03038009208711187,0.0013752747895265146,0.003842401952234805
13,TRAPPIST-1 d,TRAPPIST-1,0,3216000.0,0.772,0.41,2559.0,83561.04,-3.281,0.8900528529443994,0.7278457097882689,8846.854193330708,7302.531066887259,8564.067970287071,7198.402541458928,0.055756323005863466,0.06502898493526504,0.06635903853465364,0.003176503407858272,0.008742069772425736
18,GJ 367 b,GJ 367,0,1065000.0,0.718,0.546,3522.0,320317.32,-1.541,1.4733405804808477,0.870943831273646,41857.384332414134,34550.68239923326,40519.429465838795,34058.01601030294,0.011711648972892934,0.013144512178708712,0.014472886257224244,0.0008185103666942296,0.002241785583196882
21,TRAPPIST-1 e,TRAPPIST-1,0,4225500.0,0.918,0.62,2559.0,83561.04,-3.281,0.8004744727907167,0.8207871571141606,7718.054423595989,6370.776659428265,7471.349842283992,6279.934241463411,0.06586822044766094,0.07677102447250522,0.07938624893395319,0.003851903276918055,0.010606116323470841
25,TRAPPIST-1 f,TRAPPIST-1,0,5565000.0,1.045,0.68,2559.0,83561.04,-3.281,0.5951739058875616,0.8056610339840956,6725.34093423521,5551.353061146277,6510.368050098964,5472.194998949135,0.07118914054237203,0.08253956329111448,0.08723440555662419,0.004152259124982873,0.011480944916432027
26,TRAPPIST-1 e,TRAPPIST-1,0,4387500.0,0.92,0.692,2566.0,83561.04,-3.257,0.8876187206574949,0.8661940213356816,7679.595137273373,6339.030896805328,7434.119891958383,6248.641149211919,0.06812046584660264,0.07929334065194354,0.08237507063278186,0.0040689773940047235,0.0111726416778792
32,TRAPPIST-1 b,TRAPPIST-1,0,1666500.0,1.086,0.85,2559.0,83561.04,-3.281,0.6628469936026317,0.8835896060475205,12289.783453907141,10144.456268436099,11896.945347953668,9999.804056370302,0.0409907032376579,0.047561575926796204,0.05187933527667091,0.0024691619420897748,0.0068694125339852025
39,TRAPPIST-1 f,TRAPPIST-1,0,5773500.000000001,1.045,1.039,2566.0,83561.04,-3.257,0.9093907179664357,0.9958769414040944,6694.641179824016,5526.012312284093,6480.6496012918415,5447.215589845468,0.08050895539445886,0.09026790447193302,0.09996349312588758,0.005095667670831807,0.01394651217447295
50,GJ 3929 b,GJ 3929,0,3853500.0,1.15,1.21,3369.0,222829.44,-1.937,0.7946496384707102,1.0244713397386411,17519.3991746392,14461.180658142595,16959.39845412039,14254.975247430528,0.03019956070316517,0.03410280602065689,0.03993431936323677,0.0019602648941645503,0.005446764687750593
54,TRAPPIST-1 c,TRAPPIST-1,0,2370000.0,1.097,1.308,2566.0,83561.04,-3.257,0.9896273794270891,1.0905776834692316,10448.951579860519,8624.963389342909,10114.954942472497,8501.977987243356,0.05194174735353583,0.0565653322047284,0.0686711936136877,0.0035214582440029553,0.009678632153854162
55,TRAPPIST-1 g,TRAPPIST-1,0,7024499.999999999,1.129,1.321,2566.0,83561.04,-3.257,0.9168638140518537,1.0803400741016758,6069.308056036207,5009.838487801189,5875.305005443528,4938.402010559168,0.08629396315543238,0.09623801023281253,0.1135452335685471,0.005905110939319567,0.016125379835537017
56,TRAPPIST-1 g,TRAPPIST-1,0,6765000.0,1.127,1.34,2559.0,83561.04,-3.281,0.9350113679923235,1.0890466649913726,6099.763392399802,5034.977484679345,5904.786848930041,4963.18254450828,0.08608144942221523,0.09535708637518889,0.11356691269265726,0.005923723733475705,0.016168881959165323
59,TRAPPIST-1 b,TRAPPIST-1,0,1731000.0,1.116,1.374,2566.0,83561.04,-3.257,0.9873655944523843,1.1081978858681525,12226.393120654397,10092.131468252608,11835.58126183084,9948.225367944027,0.04428946295907248,0.048286889780849364,0.059466788685246,0.0030432075947991856,0.008379264957247404
60,TRAPPIST-1 c,TRAPPIST-1,0,2281500.0,1.056,1.38,2559.0,83561.04,-3.281,1.1704993387746376,1.1417305774808217,10503.56320459098,8670.041908496985,10167.820928046449,8546.413721082994,0.050302038502291584,0.0544962374656719,0.06767118353105038,0.003698548724506519,0.010112954496748056
61,LHS 1678 c,LHS 1678,0,4965000.0,0.982,1.4,3490.0,229792.86000000002,-1.839,1.4766494677918076,1.1925162952135844,16330.040553982057,13479.438664071247,15808.057215103108,13287.232145696287,0.031208494553377295,0.03398250700301331,0.04205808485986731,0.002539675855051272,0.006917218108205147
74,TOI-178 b,TOI-178,0,3910500.0,1.152,1.5,4316.0,452622.3,-0.879,0.9799810159452014,1.1396603480759493,31976.48663082085,26394.61235921665,30954.37078230241,26018.245310717506,0.016976607065892362,0.01858572243511809,0.0235500873756773,0.0011895436592323416,0.0032971933194521157
77,TOI-270 b,TOI-270,0,4795500.0,1.206,1.58,3506.0,264609.96,-1.712,0.8997026598826391,1.1431703132480626,17876.394986559888,14755.85862505933,17304.983034987727,14545.451331206992,0.02945429296548231,0.033170774400815645,0.04144435089244554,0.0020963135391723984,0.005805913539027471
85,GJ 1132 b,GJ 1132,0,2295000.0,1.13,1.66,3270.0,146231.82,-2.359,1.1490967556787886,1.2105169377226184,17805.556211182753,14697.385596497183,17236.408593270462,14487.81208345122,0.02943644810386384,0.03192463594604738,0.041896820668276546,0.002265546692713979,0.006228540263109282
