,Name,starName,controversial,planetSemimajor,planetEarthRads,earthMass,stellarEffTemp,stellarRadius,luminosity,density,escapeVelocity,surfaceEarthTemp,surfaceVenusTemp,surfaceMarsTemp,surfaceTitanTemp,similarityIndex_Earth,similarityIndex_Arrakis,similarityIndex_Erid
5,K2-266 c,K2-266,0,10185000.0,0.705,0.29013,4285.0,487439.39999999997,-0.823,0.827006890267024,0.6407045508707235,1.6707856766666327,1.379130258433123,1.6173796680792927,1.3870437060632905,0.00964635124882494,0.008890598553000428,0.004180918362356552
7,TRAPPIST-1 h,TRAPPIST-1,0,9283500.0,0.755,0.326,2566.0,83561.04,-3.257,0.7565899812375398,0.6562833291240616,0.43106760767902524,0.3558196538808016,0.41728870073785485,0.7406057804261037,0.002503238687752198,0.0023072235312096368,0.001087959212142659
9,LHS 1678 b,LHS 1678,0,1876500.0,0.696,0.35,3490.0,229792.86000000002,-1.839,1.036869659283395,0.7082481529982575,2.16883731037085,1.7902410836551341,2.0995112767330117,1.777569625973041,0.01306936274197968,0.011590046862796329,0.005767683639602352
10,TRAPPIST-1 d,TRAPPIST-1,0,3340500.0000000005,0.788,0.388,2566.0,83561.04,-3.257,0.7920213960937001,0.7008237358353779,0.718613748909896,0.5931712122556365,0.6956435423889553,0.796561195749849,0.0042945207269379174,0.003955179361070327,0.001878115608812693
12,L 98-59 b,L 98-59,0,3286500.0,0.85,0.4,3415.0,208902.6,-1.948,0.6505595477858964,0.6851356738096475,1.5391623870434412,1.2704833721394782,1.4899636652637873,1.287247260897351,0.008912209235626788,0.008224992460262667,0.003910666521958075
13,TRAPPIST-1 d,TRAPPIST-1,0,3216000.0,0.772,0.41,2559.0,83561.04,-3.281,0.8900528529443994,0.7278457097882689,0.7223426200820638,0.5962491648231947,0.6992532216572045,0.7977678634394303,0.004424519409629185,0.004069831665905727,0.0019375056062299054
18,GJ 367 b,GJ 367,0,1065000.0,0.718,0.546,3522.0,320317.32,-1.541,1.4733405804808477,0.870943831273646,3.417641119399391,2.8210514047693716,3.308397561999953,2.784141054347368,0.02009954358412247,0.017753836470951263,0.009024889562830155
21,TRAPPIST-1 e,TRAPPIST-1,0,4225500.0,0.918,0.62,2559.0,83561.04,-3.281,0.8004744727907167,0.8207871571141606,0.6301765048280236,0.5201717360277338,0.6100331601139783,0.7718058333439545,0.003997812787305391,0.0036768214870921017,0.0017777308697730365
25,TRAPPIST-1 f,TRAPPIST-1,0,5565000.0,1.045,0.68,2559.0,83561.04,-3.281,0.5951739058875616,0.8056610339840956,0.5491217878376327,0.45326607939486,0.5315693253486912,0.7553709400048628,0.0032990973614288903,0.0030202373374247464,0.0014963458780041375
26,TRAPPIST-1 e,TRAPPIST-1,0,4387500.0,0.92,0.692,2566.0,83561.04,-3.257,0.8876187206574949,0.8661940213356816,0.62703631724929,0.5175797053636767,0.6069933473990815,0.7710611215868185,0.004094190675275213,0.003760667733106874,0.0018268701146638598
