,Unnamed: 0,Name,starName,defaultPlanetEntry,numStars,numPlanets,solution,controversial,orbitalPeriod,planetSemimajor,planetEarthRads,earthMass,bestEarthMass,bestMassProvenance,eccentricity,equilTemp,stellarEffTemp,stellarRadius,stellarMetallicity,stellarMetallicityRatio,luminosity,stellarAge,distance,density,escapeVelocity,surfaceEarthTemp,surfaceVenusTemp,surfaceMarsTemp,surfaceTitanTemp,similarityIndex_Earth,similarityIndex_Arrakis,similarityIndex_Erid
35,35,2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,1,1,Published Confirmed,0,,23400000000.0,16.141,4417.837,4417.837,Mass,,,3064.0,194975.76,,,-2.23,0.035,,1.0493061457105701,16.523257597824863,1.8992798511481934,1.5677380698981558,1.8385701159279646,1.564383695642304,0.003080698531570197,0.0025998389500841578,0.0028789132465445026
174,174,BD+60 1417 b,BD+60 1417,1,1,1,Published Confirmed,0,,249300000000.0,14.684,4767.4261,4767.4261,Mass,,1303.0,4993.0,557073.6,,,0.356,0.1,44.9543,1.5039544503348208,17.99599422867657,2.5783136653487917,2.128238493586043,2.495898880690599,2.1055851239172023,0.003913368819721904,0.0032927055735318517,0.0036639584721196252
195,195,CFHTWIR-Oph 98 b,CFHTWIR-Oph 98 A,1,1,1,Published Confirmed,0,8040000.0,30000000000.0,20.849,2479.06157,2479.06157,Mass,,1800.0,2320.0,167122.08,,,-2.85,0.003,,0.2732218740794485,10.890732478543487,1.1739139467741861,0.9689933708451115,1.1363902480749608,1.0283049449310524,0.0015235646038138113,0.0013480089847169403,0.0013907440518813744
198,198,COCONUTS-2 b,COCONUTS-2 A,1,1,1,Published Confirmed,0,402000000.0,1125900000000.0,12.442,2002.31896,2002.31896,Mass,,434.0,3406.0,271573.38,0.0,[Fe/H],-1.732,0.475,10.8864,1.0383565566841189,12.670028144720465,0.3647094194601484,0.30104507294829247,0.353051625968387,0.7360217220307845,0.0007018221063302668,0.0005922757818928102,0.0006470003579519164
241,241,CoRoT-19 b,CoRoT-19,1,1,1,Published Confirmed,0,3.89713,7770000.0,14.46,352.78,352.78,Mass,0.047,2000.0,6090.0,1148964.3,-0.02,[Fe/H],0.544,5.0,790.663,0.11654212104520142,4.93314498688116,514.6196679964214,424.78671299998376,498.1700522305839,418.729578338866,0.14984668277860122,0.16234562647231748,0.2959877084773743
327,327,CoRoTID 223977153 b,CoRoTID 223977153,1,1,1,Published Confirmed,0,6.71837,10649999.999999998,6.389,47.6745,47.6745,Mass,,938.0,5970.0,550110.18,0.0,[Fe/H],-0.155,,576.683,0.18258761821127442,2.7282406635842937,293.9490668131413,242.63677750037957,284.55310022945395,239.17696204923584,0.35162814785358437,0.3392668256293745,0.3772525274346079
455,455,EPIC 246851721 b,EPIC 246851721,1,2,1,Published Confirmed,0,6.180235,10843499.999999998,11.781,953.49,953.49,Mass,,1401.0,6202.0,1107183.78,0.141,[Fe/H],0.526,3.02,372.632,0.5824431145359158,8.985102619157182,431.1338752470475,355.8743536603656,417.35285008906664,350.7998567040483,0.22802304759261458,0.24300390849476394,0.4037974844755886
464,464,G 9-40 b,G 9-40,1,1,1,Published Confirmed,0,5.746007,5775000.0,2.025,11.7,11.7,Mass,0.0,456.0,3348.0,215866.02,0.04,[Fe/H],-1.971,9.9,27.9276,1.407325704331569,2.400692111169639,140.3365822052873,115.83917050960932,135.85077841905522,114.18739230405525,0.44961059597863823,0.3958798932600611,0.4166404494600617
474,474,GJ 1132 b,GJ 1132,1,1,2,Published Confirmed,0,1.628931,2295000.0,1.13,1.66,1.66,Mass,0.22,529.0,3270.0,146231.82,,,-2.359,,12.613,1.1490967556787886,1.2105169377226184,178.05556211182753,146.97385596497185,172.36408593270463,144.87812085800113,0.7065366600868056,0.6303667679038542,0.4318580169855635
487,487,GJ 1214 b,GJ 1214,1,1,1,Published Confirmed,0,1.58040433,2235000.0,2.742,8.17,8.17,Mass,0.063,596.0,3250.0,146231.82,0.29,[Fe/H],-2.337,,14.6427,0.3958252967776153,1.723984477926033,182.72927282714758,150.83171514863486,176.88840331883654,148.68096990925207,0.4704913040288272,0.4379530258751221,0.4147902142845357
506,506,GJ 143 b,GJ 143,1,1,2,Published Confirmed,0,35.61253,28725000.0,2.61,22.7,22.7,Mass,0.188,422.0,4640.0,480475.98,0.003,[Fe/H],-0.686,3.8,16.32,1.2752289870958022,2.945430117099732,131.84597343030993,108.83069800615162,127.63156862210407,107.2788552849853,0.39399857109185116,0.3461748950900851,0.3718394375253035
536,536,GJ 3090 b,GJ 3090,1,1,1,Published Confirmed,0,2.853136,4747500.0,2.13,3.34,3.34,Mass,0.32,693.0,3556.0,362097.84,-0.06,[Fe/H],-1.342,,22.4751,0.3452164620556417,1.2506606334272754,222.31276641262698,183.50544134859942,215.2066260632583,180.8887936749973,0.5776564386515689,0.5425547076618431,0.45296751580093453
571,571,GJ 3473 b,GJ 3473,1,2,2,Published Confirmed,0,1.1980035,2383500.0,1.264,1.86,1.86,Mass,0.0,773.0,3347.0,250683.12,0.11,[Fe/H],-1.824,,27.3644,0.9199316550151163,1.2115434203779671,237.7329128005701,196.23381864442882,230.1338735223241,193.43567401274044,0.8273388855085576,0.7667368730665995,0.5387796191958648
577,577,GJ 357 b,GJ 357,1,1,3,Published Confirmed,0,3.93072,5250000.000000001,1.217,1.84,1.84,Mass,,525.0,3505.0,236756.28000000003,-0.12,[Fe/H],-1.798,,9.44181,1.0196002404300655,1.2280602396601665,162.598763255005,134.21522432258928,157.40135758654577,132.3014175827765,0.6705037669449823,0.5972225953006983,0.4168847338159324
583,583,GJ 367 b,GJ 367,1,1,1,Published Confirmed,0,0.321962,1065000.0,0.718,0.546,0.546,Mass,0.0,1745.0,3522.0,320317.32,-0.01,[Fe/H],-1.541,,9.41263,1.4733405804808477,0.870943831273646,418.57384332414136,345.50682399233256,405.19429465838795,340.5801601048375,0.69857093040233,0.7456782800557482,0.5946429140057056
585,585,GJ 3929 b,GJ 3929,1,1,2,Published Confirmed,0,2.616235,3780000.0,1.09,1.75,1.75,Mass,0.0,568.0,3384.0,222829.44,-0.02,[Fe/H],-1.963,7.1,15.8095,1.3497159986321223,1.2654990504400696,174.2613161252069,143.8419405307153,168.69112153029548,141.79086415157448,0.6754578419471706,0.6012891933719189,0.41348734340083315
636,636,GJ 486 b,GJ 486,1,1,1,Published Confirmed,0,1.467119,2601000.0,1.305,2.82,2.82,Mass,0.05,701.0,3340.0,229792.86000000002,0.07,[Fe/H],-1.917,,8.07426,1.267364138717238,1.4681666226216255,215.71319610649167,178.05790416357482,208.81800843248072,175.51893421806935,0.7304062549459301,0.6537524143149394,0.5209568434780795
761,761,GPX-1 b,GPX-1,1,1,1,Published Confirmed,0,1.744579,5069999.999999999,16.477,6261.21962,6261.21962,Mass,0.0,2300.0,7000.0,1086293.52,0.35,[Fe/H],0.727,0.27,655.013,1.3980038043540142,19.469125567168124,707.8527278037706,584.2886547700443,685.2264931001779,575.957144025933,0.1217452466066729,0.12570921603798846,0.2653266593073671
819,819,HAT-P-12 b,HAT-P-12,1,1,1,Published Confirmed,0,3.2130598,5759999.999999999,10.749,67.059,67.059,Mass,0.0,963.0,4650.0,487439.39999999997,-0.29,[Fe/H],-0.678,2.5,142.751,0.053930782923204273,2.4945979046887072,295.79147153940585,244.157568671717,286.33661321154904,240.67606789785245,0.21235878869107178,0.20703987406595833,0.2315088483445644
861,861,HAT-P-16 b,HAT-P-16,1,3,1,Published Confirmed,0,2.77596,6195000.000000001,14.448,1332.605,1332.605,Mass,0.036,1626.0,6158.0,863464.08,0.17,[Fe/H],0.294,2.0,226.637,0.4413286080192833,9.591861538962677,499.0869731352244,411.96543389922954,483.1338538660511,406.0911209030006,0.18036319802746992,0.19342169648217314,0.36408687233076875
878,878,HAT-P-18 b,HAT-P-18,1,1,1,Published Confirmed,0,5.508023,8385000.0,11.153,62.61,62.61,Mass,0.084,852.0,4803.0,522256.5,0.1,[Fe/H],-0.569,12.4,161.4,0.04507673358790954,2.366366720864323,261.0329648654196,215.46657080077418,252.6891485651779,212.39418178433036,0.19355751536621293,0.18314996571713324,0.20184982667835705
890,890,HAT-P-19 b,HAT-P-19,1,1,1,Published Confirmed,0,4.008778,6990000.0,12.689,92.802,92.802,Mass,0.067,1010.0,4990.0,571000.44,0.23,[Fe/H],-0.432,8.8,202.078,0.045368976785071805,2.7009778179558674,309.3558277406543,255.35410592635094,299.4673900890802,251.7129510670387,0.18315541562926788,0.18697474745778353,0.21169123135322068
913,913,HAT-P-20 b,HAT-P-20,1,1,1,Published Confirmed,0,2.875317,5415000.0,9.718,2302.899,2302.899,Mass,0.015,970.0,4595.0,480475.98,0.35,[Fe/H],-0.721,6.7,71.0374,2.5062711095263923,15.374643221681106,297.610095486995,245.6587302808081,288.09710555822824,242.15582408681811,0.23127759363894812,0.21244993017429514,0.27695510567021187
954,954,HAT-P-25 b,HAT-P-25,1,1,1,Published Confirmed,0,3.65281514,6990000.0,12.722,180.84527,180.84527,Mass,0.023,1182.0,5519.0,640634.64,0.294,[Fe/H],-0.152,,300.384,0.08772529179584544,3.76558044329829,363.46140561878906,300.0149146966393,351.84350439978266,295.7369307527767,0.1896362005027091,0.2037765319631581,0.26744794516969655
969,969,HAT-P-27 b,HAT-P-27,1,2,1,Published Confirmed,0,3.039577,6000000.0,11.43,197.05,197.05,Mass,0.0,,5316.0,598854.12,0.3,[M/H],-0.269,,199.173,0.13180187511320723,4.146876987144012,366.7509643662214,302.7302420236778,355.0279136925798,298.413539582274,0.2148267804624434,0.23051976964810622,0.30686465563598353
972,972,HAT-P-28 b,HAT-P-28,1,1,1,Published Confirmed,0,3.257215,6510000.0,13.585,198.953,198.953,Mass,0.051,1384.0,5680.0,765976.2000000001,0.12,[Fe/H],0.053,6.1,401.319,0.07926024398112935,3.8220949607459844,423.7955531608433,349.8170225636545,410.24909458900567,344.8288985306419,0.16419485822145613,0.17727772117198606,0.2758610670135036
1020,1020,HAT-P-32 b,HAT-P-32,1,2,1,Published Confirmed,0,2.1500082,5095500.0,22.194,216.1244,216.1244,Mass,0.159,1836.0,6001.0,953988.54,-0.16,[Fe/H],0.338,,289.205,0.019746080190830295,3.1166652425199417,564.4214195927975,465.8949793136868,546.379910377929,459.25167211640684,0.07940003132400351,0.08666949878412637,0.15615931832324614
1062,1062,HAT-P-37 b,HAT-P-37,1,1,1,Published Confirmed,0,2.797436,5685000.000000001,13.204,371.528,371.528,Mass,0.058,1271.0,5500.0,612780.96,,,-0.208,,390.594,0.16119770099792477,5.297842771923074,390.2398851621579,322.11889363831494,377.76602035163796,317.52572380669824,0.1966463484012287,0.21102501382509536,0.30547718037895943
1067,1067,HAT-P-38 b,HAT-P-38,1,1,1,Published Confirmed,0,4.640382,7845000.0,9.247,84.857,84.857,Mass,0.067,1082.0,5330.0,640634.64,,,-0.208,,255.206,0.10719362104866603,3.0255160165432664,332.20060245262476,274.2110547812295,321.5819405410023,270.3010142072732,0.24684783310443245,0.26467535685943794,0.30886872218155764
1072,1072,HAT-P-39 b,HAT-P-39,1,2,1,Published Confirmed,0,3.54387,7635000.0,17.609,190.372,190.372,Mass,0.0,1752.0,6430.0,1128074.04,,,0.607,,697.004,0.03482433508646448,3.2839023750017318,538.322297703283,444.35176810530766,521.1150366790826,438.0156506750269,0.10458134108876653,0.11392622206324152,0.20438199391673156
